parameter,sparsity,top1,top5,loss
conv1.conv.weight,0.0,0.8282233,0,0
conv1.conv.weight,0.1,0.8258648,0,0
conv1.conv.weight,0.2,0.8113208,0,0
conv1.conv.weight,0.30000000000000004,0.7877358,0,0
conv1.conv.weight,0.4,0.7967767,0,0
conv1.conv.weight,0.5,0.7633648,0,0
conv1.conv.weight,0.6000000000000001,0.6851415,0,0
conv1.conv.weight,0.7000000000000001,0.2904874,0,0
conv1.conv.weight,0.8,0.2484277,0,0
conv1.conv.weight,0.9,0.0683962,0,0
conv2_dw.conv.weight,0.0,0.8282233,0,0
conv2_dw.conv.weight,0.1,0.8250786,0,0
conv2_dw.conv.weight,0.2,0.8018868,0,0
conv2_dw.conv.weight,0.30000000000000004,0.7881289,0,0
conv2_dw.conv.weight,0.4,0.783805,0,0
conv2_dw.conv.weight,0.5,0.7637579,0,0
conv2_dw.conv.weight,0.6000000000000001,0.740173,0,0
conv2_dw.conv.weight,0.7000000000000001,0.7169811,0,0
conv2_dw.conv.weight,0.8,0.5463836,0,0
conv2_dw.conv.weight,0.9,0.4221698,0,0
conv_23.conv.conv.weight,0.0,0.8282233,0,0
conv_23.conv.conv.weight,0.1,0.8113208,0,0
conv_23.conv.conv.weight,0.2,0.7869497,0,0
conv_23.conv.conv.weight,0.30000000000000004,0.6816038,0,0
conv_23.conv.conv.weight,0.4,0.6332547,0,0
conv_23.conv.conv.weight,0.5,0.5534591,0,0
conv_23.conv.conv.weight,0.6000000000000001,0.3231132,0,0
conv_23.conv.conv.weight,0.7000000000000001,0.0919811,0,0
conv_23.conv.conv.weight,0.8,0.0169025,0,0
conv_23.conv.conv.weight,0.9,0.0051101,0,0
conv_23.conv_dw.conv.weight,0.0,0.8282233,0,0
conv_23.conv_dw.conv.weight,0.1,0.797956,0,0
conv_23.conv_dw.conv.weight,0.2,0.7358491,0,0
conv_23.conv_dw.conv.weight,0.30000000000000004,0.7118711,0,0
conv_23.conv_dw.conv.weight,0.4,0.5216195,0,0
conv_23.conv_dw.conv.weight,0.5,0.3537736,0,0
conv_23.conv_dw.conv.weight,0.6000000000000001,0.1234277,0,0
conv_23.conv_dw.conv.weight,0.7000000000000001,0.0062893,0,0
conv_23.conv_dw.conv.weight,0.8,0.0039308,0,0
conv_23.conv_dw.conv.weight,0.9,0.0031447,0,0
conv_23.project.conv.weight,0.0,0.8282233,0,0
conv_23.project.conv.weight,0.1,0.8254717,0,0
conv_23.project.conv.weight,0.2,0.8187893,0,0
conv_23.project.conv.weight,0.30000000000000004,0.7948113,0,0
conv_23.project.conv.weight,0.4,0.7834119,0,0
conv_23.project.conv.weight,0.5,0.7696541,0,0
conv_23.project.conv.weight,0.6000000000000001,0.6930031,0,0
conv_23.project.conv.weight,0.7000000000000001,0.6611635,0,0
conv_23.project.conv.weight,0.8,0.5715409,0,0
conv_23.project.conv.weight,0.9,0.2476415,0,0
conv_3.model.0.conv.conv.weight,0.0,0.8282233,0,0
conv_3.model.0.conv.conv.weight,0.1,0.8250786,0,0
conv_3.model.0.conv.conv.weight,0.2,0.821934,0,0
conv_3.model.0.conv.conv.weight,0.30000000000000004,0.8066038,0,0
conv_3.model.0.conv.conv.weight,0.4,0.7928459,0,0
conv_3.model.0.conv.conv.weight,0.5,0.7775157,0,0
conv_3.model.0.conv.conv.weight,0.6000000000000001,0.7590409,0,0
conv_3.model.0.conv.conv.weight,0.7000000000000001,0.7696541,0,0
conv_3.model.0.conv.conv.weight,0.8,0.7429245,0,0
conv_3.model.0.conv.conv.weight,0.9,0.7334906,0,0
conv_3.model.0.conv_dw.conv.weight,0.0,0.8282233,0,0
conv_3.model.0.conv_dw.conv.weight,0.1,0.8054245,0,0
conv_3.model.0.conv_dw.conv.weight,0.2,0.8050314,0,0
conv_3.model.0.conv_dw.conv.weight,0.30000000000000004,0.8097484,0,0
conv_3.model.0.conv_dw.conv.weight,0.4,0.7822327,0,0
conv_3.model.0.conv_dw.conv.weight,0.5,0.7566824,0,0
conv_3.model.0.conv_dw.conv.weight,0.6000000000000001,0.7389937,0,0
conv_3.model.0.conv_dw.conv.weight,0.7000000000000001,0.6639151,0,0
conv_3.model.0.conv_dw.conv.weight,0.8,0.6654874,0,0
conv_3.model.0.conv_dw.conv.weight,0.9,0.6332547,0,0
conv_3.model.0.project.conv.weight,0.0,0.8282233,0,0
conv_3.model.0.project.conv.weight,0.1,0.8168239,0,0
conv_3.model.0.project.conv.weight,0.2,0.8140723,0,0
conv_3.model.0.project.conv.weight,0.30000000000000004,0.8066038,0,0
conv_3.model.0.project.conv.weight,0.4,0.8054245,0,0
conv_3.model.0.project.conv.weight,0.5,0.7806604,0,0
conv_3.model.0.project.conv.weight,0.6000000000000001,0.7460692,0,0
conv_3.model.0.project.conv.weight,0.7000000000000001,0.7240566,0,0
conv_3.model.0.project.conv.weight,0.8,0.7315252,0,0
conv_3.model.0.project.conv.weight,0.9,0.6902516,0,0
conv_3.model.1.conv.conv.weight,0.0,0.8282233,0,0
conv_3.model.1.conv.conv.weight,0.1,0.8231132,0,0
conv_3.model.1.conv.conv.weight,0.2,0.803066,0,0
conv_3.model.1.conv.conv.weight,0.30000000000000004,0.817217,0,0
conv_3.model.1.conv.conv.weight,0.4,0.8101415,0,0
conv_3.model.1.conv.conv.weight,0.5,0.8101415,0,0
conv_3.model.1.conv.conv.weight,0.6000000000000001,0.793239,0,0
conv_3.model.1.conv.conv.weight,0.7000000000000001,0.7759434,0,0
conv_3.model.1.conv.conv.weight,0.8,0.7669025,0,0
conv_3.model.1.conv.conv.weight,0.9,0.7511792,0,0
conv_3.model.1.conv_dw.conv.weight,0.0,0.8282233,0,0
conv_3.model.1.conv_dw.conv.weight,0.1,0.8235063,0,0
conv_3.model.1.conv_dw.conv.weight,0.2,0.8164308,0,0
conv_3.model.1.conv_dw.conv.weight,0.30000000000000004,0.7975629,0,0
conv_3.model.1.conv_dw.conv.weight,0.4,0.7959906,0,0
conv_3.model.1.conv_dw.conv.weight,0.5,0.7759434,0,0
conv_3.model.1.conv_dw.conv.weight,0.6000000000000001,0.7429245,0,0
conv_3.model.1.conv_dw.conv.weight,0.7000000000000001,0.7437107,0,0
conv_3.model.1.conv_dw.conv.weight,0.8,0.7433176,0,0
conv_3.model.1.conv_dw.conv.weight,0.9,0.7106918,0,0
conv_3.model.1.project.conv.weight,0.0,0.8282233,0,0
conv_3.model.1.project.conv.weight,0.1,0.8042453,0,0
conv_3.model.1.project.conv.weight,0.2,0.8117138,0,0
conv_3.model.1.project.conv.weight,0.30000000000000004,0.8113208,0,0
conv_3.model.1.project.conv.weight,0.4,0.788522,0,0
conv_3.model.1.project.conv.weight,0.5,0.7841981,0,0
conv_3.model.1.project.conv.weight,0.6000000000000001,0.7629717,0,0
conv_3.model.1.project.conv.weight,0.7000000000000001,0.7767296,0,0
conv_3.model.1.project.conv.weight,0.8,0.7551101,0,0
conv_3.model.1.project.conv.weight,0.9,0.6871069,0,0
conv_3.model.2.conv.conv.weight,0.0,0.8282233,0,0
conv_3.model.2.conv.conv.weight,0.1,0.8321541,0,0
conv_3.model.2.conv.conv.weight,0.2,0.8164308,0,0
conv_3.model.2.conv.conv.weight,0.30000000000000004,0.8266509,0,0
conv_3.model.2.conv.conv.weight,0.4,0.8148585,0,0
conv_3.model.2.conv.conv.weight,0.5,0.8066038,0,0
conv_3.model.2.conv.conv.weight,0.6000000000000001,0.8089623,0,0
conv_3.model.2.conv.conv.weight,0.7000000000000001,0.7912736,0,0
conv_3.model.2.conv.conv.weight,0.8,0.7877358,0,0
conv_3.model.2.conv.conv.weight,0.9,0.7460692,0,0
conv_3.model.2.conv_dw.conv.weight,0.0,0.8282233,0,0
