parameter,sparsity,top1,top5,loss
conv1.conv.weight,0.0,0.4755751346059716,0,0
conv1.conv.weight,0.1,0.5023984336759667,0,0
conv1.conv.weight,0.2,0.5044542339696525,0,0
conv1.conv.weight,0.30000000000000004,0.4744982868330886,0,0
conv1.conv.weight,0.4,0.42329906999510525,0,0
conv1.conv.weight,0.5,0.3803230543318649,0,0
conv1.conv.weight,0.6000000000000001,0.3359765051395007,0,0
conv1.conv.weight,0.7000000000000001,0.13127753303964756,0,0
conv1.conv.weight,0.8,0.09407733724914341,0,0
conv1.conv.weight,0.9,0.03543808125305923,0,0
conv2_dw.conv.weight,0.0,0.4755751346059716,0,0
conv2_dw.conv.weight,0.1,0.4627508565834557,0,0
conv2_dw.conv.weight,0.2,0.4672540381791483,0,0
conv2_dw.conv.weight,0.30000000000000004,0.4785119921683798,0,0
conv2_dw.conv.weight,0.4,0.4835046500244738,0,0
conv2_dw.conv.weight,0.5,0.44415075868820364,0,0
conv2_dw.conv.weight,0.6000000000000001,0.3451786588350465,0,0
conv2_dw.conv.weight,0.7000000000000001,0.27547723935389135,0,0
conv2_dw.conv.weight,0.8,0.08477728830151737,0,0
conv2_dw.conv.weight,0.9,0.011551639745472344,0,0
conv_23.conv.conv.weight,0.0,0.4755751346059716,0,0
conv_23.conv.conv.weight,0.1,0.49691629955947136,0,0
conv_23.conv.conv.weight,0.2,0.35212922173274597,0,0
conv_23.conv.conv.weight,0.30000000000000004,0.128928046989721,0,0
conv_23.conv.conv.weight,0.4,0.09192364170337738,0,0
conv_23.conv.conv.weight,0.5,0.039060205580029365,0,0
conv_23.conv.conv.weight,0.6000000000000001,0.017327459618208516,0,0
conv_23.conv.conv.weight,0.7000000000000001,0.005188448360254528,0,0
conv_23.conv.conv.weight,0.8,0.007048458149779736,0,0
conv_23.conv.conv.weight,0.9,0.0023494860499265785,0,0
conv_23.conv_dw.conv.weight,0.0,0.4755751346059716,0,0
conv_23.conv_dw.conv.weight,0.1,0.47205090553108175,0,0
conv_23.conv_dw.conv.weight,0.2,0.3780714635340186,0,0
conv_23.conv_dw.conv.weight,0.30000000000000004,0.2430739109153206,0,0
conv_23.conv_dw.conv.weight,0.4,0.10729319627998042,0,0
conv_23.conv_dw.conv.weight,0.5,0.07723935389133627,0,0
conv_23.conv_dw.conv.weight,0.6000000000000001,0.06000978952520803,0,0
conv_23.conv_dw.conv.weight,0.7000000000000001,0.032990699951052374,0,0
conv_23.conv_dw.conv.weight,0.8,0.00714635340186001,0,0
conv_23.conv_dw.conv.weight,0.9,0.0007831620166421928,0,0
conv_23.project.conv.weight,0.0,0.4755751346059716,0,0
conv_23.project.conv.weight,0.1,0.4215369554576603,0,0
conv_23.project.conv.weight,0.2,0.2813509544787078,0,0
conv_23.project.conv.weight,0.30000000000000004,0.1973568281938326,0,0
conv_23.project.conv.weight,0.4,0.11443954968184043,0,0
conv_23.project.conv.weight,0.5,0.07126774351443955,0,0
conv_23.project.conv.weight,0.6000000000000001,0.03387175721977484,0,0
conv_23.project.conv.weight,0.7000000000000001,0.01742535487028879,0,0
conv_23.project.conv.weight,0.8,0.0038179148311306903,0,0
conv_23.project.conv.weight,0.9,0.000881057268722467,0,0
conv_3.model.0.conv.conv.weight,0.0,0.4755751346059716,0,0
conv_3.model.0.conv.conv.weight,0.1,0.4825256975036711,0,0
conv_3.model.0.conv.conv.weight,0.2,0.5066079295154186,0,0
conv_3.model.0.conv.conv.weight,0.30000000000000004,0.5187469407733725,0,0
conv_3.model.0.conv.conv.weight,0.4,0.5031815956926089,0,0
conv_3.model.0.conv.conv.weight,0.5,0.4881057268722467,0,0
conv_3.model.0.conv.conv.weight,0.6000000000000001,0.47537934410181104,0,0
conv_3.model.0.conv.conv.weight,0.7000000000000001,0.43631913852178167,0,0
conv_3.model.0.conv.conv.weight,0.8,0.4239843367596672,0,0
conv_3.model.0.conv.conv.weight,0.9,0.4173274596182085,0,0
conv_3.model.0.conv_dw.conv.weight,0.0,0.4755751346059716,0,0
conv_3.model.0.conv_dw.conv.weight,0.1,0.44219285364659816,0,0
conv_3.model.0.conv_dw.conv.weight,0.2,0.48027410670582477,0,0
conv_3.model.0.conv_dw.conv.weight,0.30000000000000004,0.43269701419481155,0,0
conv_3.model.0.conv_dw.conv.weight,0.4,0.527851199216838,0,0
conv_3.model.0.conv_dw.conv.weight,0.5,0.5402838962310328,0,0
conv_3.model.0.conv_dw.conv.weight,0.6000000000000001,0.5044542339696525,0,0
conv_3.model.0.conv_dw.conv.weight,0.7000000000000001,0.5440039158100832,0,0
conv_3.model.0.conv_dw.conv.weight,0.8,0.5212922173274597,0,0
conv_3.model.0.conv_dw.conv.weight,0.9,0.46343612334801765,0,0
conv_3.model.0.project.conv.weight,0.0,0.4755751346059716,0,0
conv_3.model.0.project.conv.weight,0.1,0.4495349975526187,0,0
conv_3.model.0.project.conv.weight,0.2,0.4956436612824278,0,0
conv_3.model.0.project.conv.weight,0.30000000000000004,0.38541360744003916,0,0
conv_3.model.0.project.conv.weight,0.4,0.2310327949094469,0,0
conv_3.model.0.project.conv.weight,0.5,0.21448849730788055,0,0
conv_3.model.0.project.conv.weight,0.6000000000000001,0.1849241311796378,0,0
conv_3.model.0.project.conv.weight,0.7000000000000001,0.1352912383749388,0,0
conv_3.model.0.project.conv.weight,0.8,0.12295643661282428,0,0
conv_3.model.0.project.conv.weight,0.9,0.11629955947136564,0,0
conv_3.model.1.conv.conv.weight,0.0,0.4755751346059716,0,0
conv_3.model.1.conv.conv.weight,0.1,0.4794909446891826,0,0
conv_3.model.1.conv.conv.weight,0.2,0.4549192364170338,0,0
conv_3.model.1.conv.conv.weight,0.30000000000000004,0.45462555066079297,0,0
conv_3.model.1.conv.conv.weight,0.4,0.4586392559960842,0,0
conv_3.model.1.conv.conv.weight,0.5,0.43269701419481155,0,0
conv_3.model.1.conv.conv.weight,0.6000000000000001,0.4,0,0
conv_3.model.1.conv.conv.weight,0.7000000000000001,0.3958883994126285,0,0
conv_3.model.1.conv.conv.weight,0.8,0.3956926089084679,0,0
conv_3.model.1.conv.conv.weight,0.9,0.4193832599118943,0,0
conv_3.model.1.conv_dw.conv.weight,0.0,0.4755751346059716,0,0
conv_3.model.1.conv_dw.conv.weight,0.1,0.48340675477239353,0,0
conv_3.model.1.conv_dw.conv.weight,0.2,0.4549192364170338,0,0
conv_3.model.1.conv_dw.conv.weight,0.30000000000000004,0.51786588350465,0,0
conv_3.model.1.conv_dw.conv.weight,0.4,0.49750367107195304,0,0
conv_3.model.1.conv_dw.conv.weight,0.5,0.47547723935389136,0,0
conv_3.model.1.conv_dw.conv.weight,0.6000000000000001,0.44287812041116004,0,0
conv_3.model.1.conv_dw.conv.weight,0.7000000000000001,0.4511013215859031,0,0
conv_3.model.1.conv_dw.conv.weight,0.8,0.41223690651003425,0,0
conv_3.model.1.conv_dw.conv.weight,0.9,0.3726872246696035,0,0
conv_3.model.1.project.conv.weight,0.0,0.4755751346059716,0,0
conv_3.model.1.project.conv.weight,0.1,0.46079295154185024,0,0
conv_3.model.1.project.conv.weight,0.2,0.4521781693587861,0,0
conv_3.model.1.project.conv.weight,0.30000000000000004,0.44454233969652474,0,0
conv_3.model.1.project.conv.weight,0.4,0.4442486539402839,0,0
conv_3.model.1.project.conv.weight,0.5,0.41262848751835535,0,0
conv_3.model.1.project.conv.weight,0.6000000000000001,0.39725893294175235,0,0
conv_3.model.1.project.conv.weight,0.7000000000000001,0.34263338228095935,0,0
conv_3.model.1.project.conv.weight,0.8,0.3072931962799804,0,0
conv_3.model.1.project.conv.weight,0.9,0.3069995105237396,0,0
conv_3.model.2.conv.conv.weight,0.0,0.4755751346059716,0,0
conv_3.model.2.conv.conv.weight,0.1,0.46921194322075377,0,0
conv_3.model.2.conv.conv.weight,0.2,0.47782672540381793,0,0
conv_3.model.2.conv.conv.weight,0.30000000000000004,0.47469407733724917,0,0
conv_3.model.2.conv.conv.weight,0.4,0.466079295154185,0,0
conv_3.model.2.conv.conv.weight,0.5,0.48742046010768475,0,0
conv_3.model.2.conv.conv.weight,0.6000000000000001,0.4737151248164464,0,0
conv_3.model.2.conv.conv.weight,0.7000000000000001,0.46402349486049926,0,0
conv_3.model.2.conv.conv.weight,0.8,0.45658345570239844,0,0
conv_3.model.2.conv.conv.weight,0.9,0.40763582966226136,0,0
conv_3.model.2.conv_dw.conv.weight,0.0,0.4755751346059716,0,0
conv_3.model.2.conv_dw.conv.weight,0.1,0.4990699951052374,0,0
conv_3.model.2.conv_dw.conv.weight,0.2,0.49623103279490943,0,0
conv_3.model.2.conv_dw.conv.weight,0.30000000000000004,0.49388154674498286,0,0
conv_3.model.2.conv_dw.conv.weight,0.4,0.4664708761625061,0,0
conv_3.model.2.conv_dw.conv.weight,0.5,0.4502202643171806,0,0
conv_3.model.2.conv_dw.conv.weight,0.6000000000000001,0.4444444444444444,0,0
conv_3.model.2.conv_dw.conv.weight,0.7000000000000001,0.47841409691629955,0,0
conv_3.model.2.conv_dw.conv.weight,0.8,0.48585413607440037,0,0
conv_3.model.2.conv_dw.conv.weight,0.9,0.45756240822320116,0,0
conv_3.model.2.project.conv.weight,0.0,0.4755751346059716,0,0
conv_3.model.2.project.conv.weight,0.1,0.47048458149779737,0,0
conv_3.model.2.project.conv.weight,0.2,0.4805677924620656,0,0
conv_3.model.2.project.conv.weight,0.30000000000000004,0.48105726872246696,0,0
conv_3.model.2.project.conv.weight,0.4,0.46715614292706803,0,0
conv_3.model.2.project.conv.weight,0.5,0.480372001957905,0,0
conv_3.model.2.project.conv.weight,0.6000000000000001,0.4416054821341165,0,0
conv_3.model.2.project.conv.weight,0.7000000000000001,0.44395496818404306,0,0
conv_3.model.2.project.conv.weight,0.8,0.4350465002447381,0,0
conv_3.model.2.project.conv.weight,0.9,0.3723935389133627,0,0
conv_3.model.3.conv.conv.weight,0.0,0.4755751346059716,0,0
conv_3.model.3.conv.conv.weight,0.1,0.4838962310327949,0,0
conv_3.model.3.conv.conv.weight,0.2,0.4797846304454234,0,0
conv_3.model.3.conv.conv.weight,0.30000000000000004,0.47342143906020556,0,0
conv_3.model.3.conv.conv.weight,0.4,0.4697014194811552,0,0
conv_3.model.3.conv.conv.weight,0.5,0.47244248653940285,0,0
conv_3.model.3.conv.conv.weight,0.6000000000000001,0.4722466960352423,0,0
conv_3.model.3.conv.conv.weight,0.7000000000000001,0.4530592266275086,0,0
conv_3.model.3.conv.conv.weight,0.8,0.46421928536465984,0,0
conv_3.model.3.conv.conv.weight,0.9,0.4053842388644151,0,0
conv_3.model.3.conv_dw.conv.weight,0.0,0.4755751346059716,0,0
conv_3.model.3.conv_dw.conv.weight,0.1,0.48751835535976507,0,0
conv_3.model.3.conv_dw.conv.weight,0.2,0.4941752325012237,0,0
conv_3.model.3.conv_dw.conv.weight,0.30000000000000004,0.4876162506118453,0,0
conv_3.model.3.conv_dw.conv.weight,0.4,0.45159079784630446,0,0
conv_3.model.3.conv_dw.conv.weight,0.5,0.47547723935389136,0,0
conv_3.model.3.conv_dw.conv.weight,0.6000000000000001,0.4187958883994126,0,0
conv_3.model.3.conv_dw.conv.weight,0.7000000000000001,0.3776798825256975,0,0
conv_3.model.3.conv_dw.conv.weight,0.8,0.3618208516886931,0,0
conv_3.model.3.conv_dw.conv.weight,0.9,0.35105237395986294,0,0
conv_3.model.3.project.conv.weight,0.0,0.4755751346059716,0,0
conv_3.model.3.project.conv.weight,0.1,0.4306412139011258,0,0
conv_3.model.3.project.conv.weight,0.2,0.4193832599118943,0,0
conv_3.model.3.project.conv.weight,0.30000000000000004,0.4155653450807636,0,0
conv_3.model.3.project.conv.weight,0.4,0.38257464512971123,0,0
conv_3.model.3.project.conv.weight,0.5,0.36994615761135585,0,0
conv_3.model.3.project.conv.weight,0.6000000000000001,0.35712187958883995,0,0
conv_3.model.3.project.conv.weight,0.7000000000000001,0.32041116005873715,0,0
conv_3.model.3.project.conv.weight,0.8,0.2948604992657856,0,0
conv_3.model.3.project.conv.weight,0.9,0.302496328928047,0,0
conv_34.conv.conv.weight,0.0,0.4755751346059716,0,0
conv_34.conv.conv.weight,0.1,0.4586392559960842,0,0
conv_34.conv.conv.weight,0.2,0.42143906020558003,0,0
conv_34.conv.conv.weight,0.30000000000000004,0.28428781204111603,0,0
conv_34.conv.conv.weight,0.4,0.1981399902104748,0,0
conv_34.conv.conv.weight,0.5,0.13861967694566812,0,0
conv_34.conv.conv.weight,0.6000000000000001,0.06568771414586393,0,0
conv_34.conv.conv.weight,0.7000000000000001,0.039353891336270194,0,0
conv_34.conv.conv.weight,0.8,0.012824278022515907,0,0
conv_34.conv.conv.weight,0.9,0.0033284385707293197,0,0
conv_34.conv_dw.conv.weight,0.0,0.4755751346059716,0,0
conv_34.conv_dw.conv.weight,0.1,0.4737151248164464,0,0
conv_34.conv_dw.conv.weight,0.2,0.30494371023005384,0,0
conv_34.conv_dw.conv.weight,0.30000000000000004,0.1281448849730788,0,0
conv_34.conv_dw.conv.weight,0.4,0.06147821830641214,0,0
conv_34.conv_dw.conv.weight,0.5,0.06510034263338228,0,0
conv_34.conv_dw.conv.weight,0.6000000000000001,0.03259911894273128,0,0
conv_34.conv_dw.conv.weight,0.7000000000000001,0.015271659324522761,0,0
conv_34.conv_dw.conv.weight,0.8,0.013313754282917279,0,0
conv_34.conv_dw.conv.weight,0.9,0.0009789525208027412,0,0
conv_34.project.conv.weight,0.0,0.4755751346059716,0,0
conv_34.project.conv.weight,0.1,0.46979931473323544,0,0
conv_34.project.conv.weight,0.2,0.4829172785119922,0,0
conv_34.project.conv.weight,0.30000000000000004,0.39559471365638765,0,0
conv_34.project.conv.weight,0.4,0.24973078805677926,0,0
conv_34.project.conv.weight,0.5,0.15369554576603034,0,0
conv_34.project.conv.weight,0.6000000000000001,0.14498286833088594,0,0
conv_34.project.conv.weight,0.7000000000000001,0.08575624082232011,0,0
conv_34.project.conv.weight,0.8,0.04904552129221733,0,0
conv_34.project.conv.weight,0.9,0.005580029368575624,0,0
conv_4.model.0.conv.conv.weight,0.0,0.4755751346059716,0,0
conv_4.model.0.conv.conv.weight,0.1,0.472148800783162,0,0
conv_4.model.0.conv.conv.weight,0.2,0.4661771904062653,0,0
conv_4.model.0.conv.conv.weight,0.30000000000000004,0.45080763582966227,0,0
conv_4.model.0.conv.conv.weight,0.4,0.4453255017131669,0,0
conv_4.model.0.conv.conv.weight,0.5,0.40469897209985317,0,0
conv_4.model.0.conv.conv.weight,0.6000000000000001,0.3467449828683309,0,0
conv_4.model.0.conv.conv.weight,0.7000000000000001,0.3175721977484092,0,0
conv_4.model.0.conv.conv.weight,0.8,0.23201174743024963,0,0
conv_4.model.0.conv.conv.weight,0.9,0.1647577092511013,0,0
conv_4.model.0.conv_dw.conv.weight,0.0,0.4755751346059716,0,0
conv_4.model.0.conv_dw.conv.weight,0.1,0.4268232990699951,0,0
conv_4.model.0.conv_dw.conv.weight,0.2,0.38120411160058737,0,0
conv_4.model.0.conv_dw.conv.weight,0.30000000000000004,0.3804209495839452,0,0
conv_4.model.0.conv_dw.conv.weight,0.4,0.4029368575624082,0,0
conv_4.model.0.conv_dw.conv.weight,0.5,0.327851199216838,0,0
conv_4.model.0.conv_dw.conv.weight,0.6000000000000001,0.29554576603034755,0,0
conv_4.model.0.conv_dw.conv.weight,0.7000000000000001,0.2540381791483113,0,0
conv_4.model.0.conv_dw.conv.weight,0.8,0.21556534508076358,0,0
conv_4.model.0.conv_dw.conv.weight,0.9,0.13558492413117965,0,0
conv_4.model.0.project.conv.weight,0.0,0.4755751346059716,0,0
conv_4.model.0.project.conv.weight,0.1,0.4700930004894763,0,0
conv_4.model.0.project.conv.weight,0.2,0.45981399902104747,0,0
conv_4.model.0.project.conv.weight,0.30000000000000004,0.44072442486539404,0,0
conv_4.model.0.project.conv.weight,0.4,0.4340675477239354,0,0
conv_4.model.0.project.conv.weight,0.5,0.4438570729319628,0,0
conv_4.model.0.project.conv.weight,0.6000000000000001,0.43034752814488497,0,0
conv_4.model.0.project.conv.weight,0.7000000000000001,0.42750856583455704,0,0
conv_4.model.0.project.conv.weight,0.8,0.35526186979931473,0,0
conv_4.model.0.project.conv.weight,0.9,0.3331375428291728,0,0
conv_4.model.1.conv.conv.weight,0.0,0.4755751346059716,0,0
conv_4.model.1.conv.conv.weight,0.1,0.48409202153695546,0,0
conv_4.model.1.conv.conv.weight,0.2,0.4666666666666667,0,0
conv_4.model.1.conv.conv.weight,0.30000000000000004,0.42545276554087125,0,0
conv_4.model.1.conv.conv.weight,0.4,0.4174253548702888,0,0
conv_4.model.1.conv.conv.weight,0.5,0.436417033773862,0,0
conv_4.model.1.conv.conv.weight,0.6000000000000001,0.41488007831620166,0,0
conv_4.model.1.conv.conv.weight,0.7000000000000001,0.41223690651003425,0,0
conv_4.model.1.conv.conv.weight,0.8,0.4091042584434655,0,0
conv_4.model.1.conv.conv.weight,0.9,0.3568281938325991,0,0
conv_4.model.1.conv_dw.conv.weight,0.0,0.4755751346059716,0,0
conv_4.model.1.conv_dw.conv.weight,0.1,0.43749388154674496,0,0
conv_4.model.1.conv_dw.conv.weight,0.2,0.438570729319628,0,0
conv_4.model.1.conv_dw.conv.weight,0.30000000000000004,0.4398433675966716,0,0
conv_4.model.1.conv_dw.conv.weight,0.4,0.4199706314243759,0,0
conv_4.model.1.conv_dw.conv.weight,0.5,0.40724424865394027,0,0
conv_4.model.1.conv_dw.conv.weight,0.6000000000000001,0.42466960352422906,0,0
conv_4.model.1.conv_dw.conv.weight,0.7000000000000001,0.41125795398923154,0,0
conv_4.model.1.conv_dw.conv.weight,0.8,0.44248653940283894,0,0
conv_4.model.1.conv_dw.conv.weight,0.9,0.46343612334801765,0,0
conv_4.model.1.project.conv.weight,0.0,0.4755751346059716,0,0
conv_4.model.1.project.conv.weight,0.1,0.46901615271659325,0,0
conv_4.model.1.project.conv.weight,0.2,0.4522760646108664,0,0
conv_4.model.1.project.conv.weight,0.30000000000000004,0.4585413607440039,0,0
conv_4.model.1.project.conv.weight,0.4,0.4509055310817425,0,0
conv_4.model.1.project.conv.weight,0.5,0.42594224180127266,0,0
conv_4.model.1.project.conv.weight,0.6000000000000001,0.4230053842388644,0,0
conv_4.model.1.project.conv.weight,0.7000000000000001,0.40019579050416054,0,0
conv_4.model.1.project.conv.weight,0.8,0.3706314243759178,0,0
conv_4.model.1.project.conv.weight,0.9,0.37092511013215856,0,0
conv_4.model.2.conv.conv.weight,0.0,0.4755751346059716,0,0
conv_4.model.2.conv.conv.weight,0.1,0.47547723935389136,0,0
conv_4.model.2.conv.conv.weight,0.2,0.43651492902594224,0,0
conv_4.model.2.conv.conv.weight,0.30000000000000004,0.44395496818404306,0,0
conv_4.model.2.conv.conv.weight,0.4,0.4418991678903573,0,0
conv_4.model.2.conv.conv.weight,0.5,0.4495349975526187,0,0
conv_4.model.2.conv.conv.weight,0.6000000000000001,0.4350465002447381,0,0
conv_4.model.2.conv.conv.weight,0.7000000000000001,0.41948115516397455,0,0
conv_4.model.2.conv.conv.weight,0.8,0.4332843857072932,0,0
conv_4.model.2.conv.conv.weight,0.9,0.4430739109153206,0,0
conv_4.model.2.conv_dw.conv.weight,0.0,0.4755751346059716,0,0
conv_4.model.2.conv_dw.conv.weight,0.1,0.43671071953010276,0,0
conv_4.model.2.conv_dw.conv.weight,0.2,0.39843367596671564,0,0
conv_4.model.2.conv_dw.conv.weight,0.30000000000000004,0.4189916789035732,0,0
conv_4.model.2.conv_dw.conv.weight,0.4,0.41527165932452276,0,0
conv_4.model.2.conv_dw.conv.weight,0.5,0.413215859030837,0,0
conv_4.model.2.conv_dw.conv.weight,0.6000000000000001,0.4139990210474792,0,0
conv_4.model.2.conv_dw.conv.weight,0.7000000000000001,0.39187469407733727,0,0
conv_4.model.2.conv_dw.conv.weight,0.8,0.41527165932452276,0,0
conv_4.model.2.conv_dw.conv.weight,0.9,0.4149779735682819,0,0
conv_4.model.2.project.conv.weight,0.0,0.4755751346059716,0,0
conv_4.model.2.project.conv.weight,0.1,0.48526676456191875,0,0
conv_4.model.2.project.conv.weight,0.2,0.4693098384728341,0,0
conv_4.model.2.project.conv.weight,0.30000000000000004,0.46216348507097404,0,0
conv_4.model.2.project.conv.weight,0.4,0.4717572197748409,0,0
conv_4.model.2.project.conv.weight,0.5,0.4442486539402839,0,0
conv_4.model.2.project.conv.weight,0.6000000000000001,0.4482623592755751,0,0
conv_4.model.2.project.conv.weight,0.7000000000000001,0.4448360254527655,0,0
conv_4.model.2.project.conv.weight,0.8,0.42672540381791485,0,0
conv_4.model.2.project.conv.weight,0.9,0.43534018600097896,0,0
conv_4.model.3.conv.conv.weight,0.0,0.4755751346059716,0,0
conv_4.model.3.conv.conv.weight,0.1,0.4654919236417034,0,0
conv_4.model.3.conv.conv.weight,0.2,0.4516886930983847,0,0
conv_4.model.3.conv.conv.weight,0.30000000000000004,0.4426823299069995,0,0
conv_4.model.3.conv.conv.weight,0.4,0.4366128242780225,0,0
conv_4.model.3.conv.conv.weight,0.5,0.44150758688203623,0,0
conv_4.model.3.conv.conv.weight,0.6000000000000001,0.44395496818404306,0,0
conv_4.model.3.conv.conv.weight,0.7000000000000001,0.43573176700930005,0,0
conv_4.model.3.conv.conv.weight,0.8,0.3945178658835046,0,0
conv_4.model.3.conv.conv.weight,0.9,0.3697503671071953,0,0
conv_4.model.3.conv_dw.conv.weight,0.0,0.4755751346059716,0,0
conv_4.model.3.conv_dw.conv.weight,0.1,0.4614782183064121,0,0
conv_4.model.3.conv_dw.conv.weight,0.2,0.4538423886441508,0,0
conv_4.model.3.conv_dw.conv.weight,0.30000000000000004,0.4389623103279491,0,0
conv_4.model.3.conv_dw.conv.weight,0.4,0.4568771414586393,0,0
conv_4.model.3.conv_dw.conv.weight,0.5,0.433578071463534,0,0
conv_4.model.3.conv_dw.conv.weight,0.6000000000000001,0.4223201174743025,0,0
conv_4.model.3.conv_dw.conv.weight,0.7000000000000001,0.4199706314243759,0,0
conv_4.model.3.conv_dw.conv.weight,0.8,0.3947136563876652,0,0
conv_4.model.3.conv_dw.conv.weight,0.9,0.3618208516886931,0,0
conv_4.model.3.project.conv.weight,0.0,0.4755751346059716,0,0
conv_4.model.3.project.conv.weight,0.1,0.4681350954478708,0,0
conv_4.model.3.project.conv.weight,0.2,0.47841409691629955,0,0
conv_4.model.3.project.conv.weight,0.30000000000000004,0.4681350954478708,0,0
conv_4.model.3.project.conv.weight,0.4,0.48007831620166425,0,0
conv_4.model.3.project.conv.weight,0.5,0.4805677924620656,0,0
conv_4.model.3.project.conv.weight,0.6000000000000001,0.4680372001957905,0,0
conv_4.model.3.project.conv.weight,0.7000000000000001,0.47508565834557026,0,0
