parameter,sparsity,top1,top5,loss
conv1.conv.weight,0.0,0.4755751346059716,0,0
conv1.conv.weight,0.1,0.5109153206069506,0,0
conv1.conv.weight,0.2,0.5000489476260401,0,0
conv1.conv.weight,0.30000000000000004,0.5075868820362213,0,0
conv1.conv.weight,0.4,0.4769456681350954,0,0
conv1.conv.weight,0.5,0.3905041605482134,0,0
conv1.conv.weight,0.6000000000000001,0.3175721977484092,0,0
conv1.conv.weight,0.7000000000000001,0.16700930004894762,0,0
conv1.conv.weight,0.8,0.06979931473323543,0,0
conv1.conv.weight,0.9,0.009104258443465492,0,0
conv2_dw.conv.weight,0.0,0.4755751346059716,0,0
conv2_dw.conv.weight,0.1,0.4627508565834557,0,0
conv2_dw.conv.weight,0.2,0.47498776309348995,0,0
conv2_dw.conv.weight,0.30000000000000004,0.4785119921683798,0,0
conv2_dw.conv.weight,0.4,0.4835046500244738,0,0
conv2_dw.conv.weight,0.5,0.3836514929025942,0,0
conv2_dw.conv.weight,0.6000000000000001,0.3455702398433676,0,0
conv2_dw.conv.weight,0.7000000000000001,0.24669603524229075,0,0
conv2_dw.conv.weight,0.8,0.13255017131669114,0,0
conv2_dw.conv.weight,0.9,0.03220753793441018,0,0
conv_23.conv.conv.weight,0.0,0.4755751346059716,0,0
conv_23.conv.conv.weight,0.1,0.4926089084679393,0,0
conv_23.conv.conv.weight,0.2,0.4327949094468918,0,0
conv_23.conv.conv.weight,0.30000000000000004,0.380714635340186,0,0
conv_23.conv.conv.weight,0.4,0.31316691140479685,0,0
conv_23.conv.conv.weight,0.5,0.14527655408712678,0,0
conv_23.conv.conv.weight,0.6000000000000001,0.06265296133137543,0,0
conv_23.conv.conv.weight,0.7000000000000001,0.012922173274596183,0,0
conv_23.conv.conv.weight,0.8,0.012824278022515907,0,0
conv_23.conv.conv.weight,0.9,0.0,0,0
conv_23.conv_dw.conv.weight,0.0,0.4755751346059716,0,0
conv_23.conv_dw.conv.weight,0.1,0.4718551150269212,0,0
conv_23.conv_dw.conv.weight,0.2,0.3329417523250122,0,0
conv_23.conv_dw.conv.weight,0.30000000000000004,0.2351443954968184,0,0
conv_23.conv_dw.conv.weight,0.4,0.10249632892804698,0,0
conv_23.conv_dw.conv.weight,0.5,0.09642682329907,0,0
conv_23.conv_dw.conv.weight,0.6000000000000001,0.07420460107684777,0,0
conv_23.conv_dw.conv.weight,0.7000000000000001,0.03220753793441018,0,0
