parameter,sparsity,top1,top5,loss
conv1.conv.weight,0.0,0.8117903,0,0
conv1.conv.weight,0.1,0.8117903,0,0
conv1.conv.weight,0.2,0.8117903,0,0
conv1.conv.weight,0.30000000000000004,0.8117903,0,0
conv1.conv.weight,0.4,0.8166269,0,0
conv1.conv.weight,0.5,0.7900603,0,0
conv1.conv.weight,0.6000000000000001,0.7283051,0,0
conv1.conv.weight,0.7000000000000001,0.535539,0,0
conv1.conv.weight,0.8,0.5815926,0,0
conv1.conv.weight,0.9,0.1146082,0,0
conv2_dw.model.0.conv.conv.weight,0.0,0.8117903,0,0
conv2_dw.model.0.conv.conv.weight,0.1,0.8117903,0,0
conv2_dw.model.0.conv.conv.weight,0.2,0.8117903,0,0
conv2_dw.model.0.conv.conv.weight,0.30000000000000004,0.8117903,0,0
conv2_dw.model.0.conv.conv.weight,0.4,0.8081452,0,0
conv2_dw.model.0.conv.conv.weight,0.5,0.7965793,0,0
conv2_dw.model.0.conv.conv.weight,0.6000000000000001,0.7486331,0,0
conv2_dw.model.0.conv.conv.weight,0.7000000000000001,0.6959905,0,0
conv2_dw.model.0.conv.conv.weight,0.8,0.5600729,0,0
conv2_dw.model.0.conv.conv.weight,0.9,0.4493201,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.0,0.8117903,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.1,0.8117903,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.2,0.8117903,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.30000000000000004,0.8117903,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.4,0.5015421,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.5,0.5011916,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.6000000000000001,0.177555,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.7000000000000001,0.0241133,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.8,0.0001402,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.9,0.0001402,0,0
conv2_dw.model.0.project.conv.weight,0.0,0.8117903,0,0
conv2_dw.model.0.project.conv.weight,0.1,0.8118604,0,0
conv2_dw.model.0.project.conv.weight,0.2,0.8120006,0,0
conv2_dw.model.0.project.conv.weight,0.30000000000000004,0.8073041,0,0
conv2_dw.model.0.project.conv.weight,0.4,0.8061825,0,0
conv2_dw.model.0.project.conv.weight,0.5,0.7687509,0,0
conv2_dw.model.0.project.conv.weight,0.6000000000000001,0.7592878,0,0
conv2_dw.model.0.project.conv.weight,0.7000000000000001,0.7048928,0,0
conv2_dw.model.0.project.conv.weight,0.8,0.4813543,0,0
conv2_dw.model.0.project.conv.weight,0.9,0.2769522,0,0
conv2_dw.model.1.conv.conv.weight,0.0,0.8117903,0,0
conv2_dw.model.1.conv.conv.weight,0.1,0.8117903,0,0
conv2_dw.model.1.conv.conv.weight,0.2,0.8230758,0,0
conv2_dw.model.1.conv.conv.weight,0.30000000000000004,0.6906631,0,0
conv2_dw.model.1.conv.conv.weight,0.4,0.6628347,0,0
conv2_dw.model.1.conv.conv.weight,0.5,0.6612225,0,0
conv2_dw.model.1.conv.conv.weight,0.6000000000000001,0.6901023,0,0
conv2_dw.model.1.conv.conv.weight,0.7000000000000001,0.6774148,0,0
conv2_dw.model.1.conv.conv.weight,0.8,0.6555447,0,0
conv2_dw.model.1.conv.conv.weight,0.9,0.5431796,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.0,0.8117903,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.1,0.8117903,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.2,0.8220244,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.30000000000000004,0.7605496,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.4,0.7312491,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.5,0.5567083,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.6000000000000001,0.525375,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.7000000000000001,0.4505117,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.8,0.3988504,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.9,0.2977709,0,0
conv2_dw.model.1.project.conv.weight,0.0,0.8117903,0,0
conv2_dw.model.1.project.conv.weight,0.1,0.8119305,0,0
conv2_dw.model.1.project.conv.weight,0.2,0.8120707,0,0
conv2_dw.model.1.project.conv.weight,0.30000000000000004,0.8001542,0,0
conv2_dw.model.1.project.conv.weight,0.4,0.8124912,0,0
conv2_dw.model.1.project.conv.weight,0.5,0.7769522,0,0
conv2_dw.model.1.project.conv.weight,0.6000000000000001,0.7466003,0,0
conv2_dw.model.1.project.conv.weight,0.7000000000000001,0.7872564,0,0
conv2_dw.model.1.project.conv.weight,0.8,0.6709659,0,0
conv2_dw.model.1.project.conv.weight,0.9,0.6596103,0,0
conv_23.conv.conv.weight,0.0,0.8117903,0,0
conv_23.conv.conv.weight,0.1,0.8117903,0,0
conv_23.conv.conv.weight,0.2,0.8122809,0,0
conv_23.conv.conv.weight,0.30000000000000004,0.8112996,0,0
conv_23.conv.conv.weight,0.4,0.7824197,0,0
conv_23.conv.conv.weight,0.5,0.7032805,0,0
