parameter,sparsity,top1,top5,loss
conv1.conv.weight,0.0,0.8117903,0,0
conv1.conv.weight,0.1,0.8117903,0,0
conv1.conv.weight,0.2,0.8117903,0,0
conv1.conv.weight,0.30000000000000004,0.8117903,0,0
conv1.conv.weight,0.4,0.8166269,0,0
conv1.conv.weight,0.5,0.7950372,0,0
conv1.conv.weight,0.6000000000000001,0.7283051,0,0
conv1.conv.weight,0.7000000000000001,0.6344455,0,0
conv1.conv.weight,0.8,0.0118463,0,0
conv1.conv.weight,0.9,0.0285294,0,0
conv2_dw.model.0.conv.conv.weight,0.0,0.8117903,0,0
conv2_dw.model.0.conv.conv.weight,0.1,0.8117903,0,0
conv2_dw.model.0.conv.conv.weight,0.2,0.8117903,0,0
conv2_dw.model.0.conv.conv.weight,0.30000000000000004,0.8117903,0,0
conv2_dw.model.0.conv.conv.weight,0.4,0.8097575,0,0
conv2_dw.model.0.conv.conv.weight,0.5,0.7642647,0,0
conv2_dw.model.0.conv.conv.weight,0.6000000000000001,0.7809477,0,0
conv2_dw.model.0.conv.conv.weight,0.7000000000000001,0.7310388,0,0
conv2_dw.model.0.conv.conv.weight,0.8,0.6504977,0,0
conv2_dw.model.0.conv.conv.weight,0.9,0.0140894,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.0,0.8117903,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.1,0.8117903,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.2,0.8117903,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.30000000000000004,0.8117903,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.4,0.4703491,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.5,0.450021,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.6000000000000001,0.3752979,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.7000000000000001,0.0002804,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.8,0.0,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.9,7.01e-05,0,0
conv2_dw.model.0.project.conv.weight,0.0,0.8117903,0,0
conv2_dw.model.0.project.conv.weight,0.1,0.8118604,0,0
conv2_dw.model.0.project.conv.weight,0.2,0.8120006,0,0
conv2_dw.model.0.project.conv.weight,0.30000000000000004,0.7950372,0,0
conv2_dw.model.0.project.conv.weight,0.4,0.8061825,0,0
conv2_dw.model.0.project.conv.weight,0.5,0.7640544,0,0
conv2_dw.model.0.project.conv.weight,0.6000000000000001,0.7935651,0,0
conv2_dw.model.0.project.conv.weight,0.7000000000000001,0.7834011,0,0
conv2_dw.model.0.project.conv.weight,0.8,0.6751016,0,0
conv2_dw.model.0.project.conv.weight,0.9,0.3634516,0,0
conv2_dw.model.1.conv.conv.weight,0.0,0.8117903,0,0
conv2_dw.model.1.conv.conv.weight,0.1,0.8117903,0,0
conv2_dw.model.1.conv.conv.weight,0.2,0.79707,0,0
conv2_dw.model.1.conv.conv.weight,0.30000000000000004,0.7028599,0,0
conv2_dw.model.1.conv.conv.weight,0.4,0.6924155,0,0
conv2_dw.model.1.conv.conv.weight,0.5,0.6868078,0,0
conv2_dw.model.1.conv.conv.weight,0.6000000000000001,0.6628347,0,0
conv2_dw.model.1.conv.conv.weight,0.7000000000000001,0.6584186,0,0
conv2_dw.model.1.conv.conv.weight,0.8,0.5584607,0,0
conv2_dw.model.1.conv.conv.weight,0.9,0.3856722,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.0,0.8117903,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.1,0.8117903,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.2,0.8220244,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.30000000000000004,0.7998037,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.4,0.755082,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.5,0.6406841,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.6000000000000001,0.6134165,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.7000000000000001,0.547806,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.8,0.4376139,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.9,0.3539885,0,0
conv2_dw.model.1.project.conv.weight,0.0,0.8117903,0,0
conv2_dw.model.1.project.conv.weight,0.1,0.8119305,0,0
conv2_dw.model.1.project.conv.weight,0.2,0.8120707,0,0
conv2_dw.model.1.project.conv.weight,0.30000000000000004,0.8101079,0,0
conv2_dw.model.1.project.conv.weight,0.4,0.8096173,0,0
conv2_dw.model.1.project.conv.weight,0.5,0.7767419,0,0
conv2_dw.model.1.project.conv.weight,0.6000000000000001,0.7813683,0,0
conv2_dw.model.1.project.conv.weight,0.7000000000000001,0.7677695,0,0
conv2_dw.model.1.project.conv.weight,0.8,0.6766438,0,0
conv2_dw.model.1.project.conv.weight,0.9,0.6596103,0,0
conv_23.conv.conv.weight,0.0,0.8117903,0,0
conv_23.conv.conv.weight,0.1,0.8117903,0,0
conv_23.conv.conv.weight,0.2,0.8152951,0,0
conv_23.conv.conv.weight,0.30000000000000004,0.8122109,0,0
conv_23.conv.conv.weight,0.4,0.7845226,0,0
conv_23.conv.conv.weight,0.5,0.6747512,0,0
