parameter,sparsity,top1,top5,loss
conv1.weight,0.0,0.6613803230543319,0,0
conv1.weight,0.1,0.6543318649045521,0,0
conv1.weight,0.2,0.23837493881546745,0,0
conv1.weight,0.30000000000000004,0.23622124326970143,0,0
conv1.weight,0.4,0.19187469407733726,0,0
conv1.weight,0.5,0.07645619187469407,0,0
conv1.weight,0.6000000000000001,0.07214880078316202,0,0
conv1.weight,0.7000000000000001,0.024180127263827705,0,0
conv1.weight,0.8,0.021047479197258932,0,0
conv1.weight,0.9,0.007537934410181107,0,0
bneck.0.conv1.weight,0.0,0.6613803230543319,0,0
bneck.0.conv1.weight,0.1,0.6658835046500244,0,0
bneck.0.conv1.weight,0.2,0.16769456681350955,0,0
bneck.0.conv1.weight,0.30000000000000004,0.15447870778267253,0,0
bneck.0.conv1.weight,0.4,0.13401860009789526,0,0
bneck.0.conv1.weight,0.5,0.04483602545276554,0,0
bneck.0.conv1.weight,0.6000000000000001,0.03524229074889868,0,0
bneck.0.conv1.weight,0.7000000000000001,0.013901125795398922,0,0
bneck.0.conv1.weight,0.8,0.002545276554087127,0,0
bneck.0.conv1.weight,0.9,0.0076358296622613805,0,0
bneck.0.conv2.weight,0.0,0.6613803230543319,0,0
bneck.0.conv2.weight,0.1,0.686441507586882,0,0
bneck.0.conv2.weight,0.2,0.2786098874204601,0,0
bneck.0.conv2.weight,0.30000000000000004,0.1894273127753304,0,0
bneck.0.conv2.weight,0.4,0.084287812041116,0,0
bneck.0.conv2.weight,0.5,0.07048458149779736,0,0
bneck.0.conv2.weight,0.6000000000000001,0.03690651003426334,0,0
bneck.0.conv2.weight,0.7000000000000001,0.019676945668135097,0,0
bneck.0.conv2.weight,0.8,0.01811062163485071,0,0
bneck.0.conv2.weight,0.9,0.008516886930983847,0,0
bneck.0.conv3.weight,0.0,0.6613803230543319,0,0
bneck.0.conv3.weight,0.1,0.5478218306412139,0,0
bneck.0.conv3.weight,0.2,0.40548213411649536,0,0
