parameter,sparsity,top1,top5,loss
conv1.weight,0.0,0.6613803230543319,0,0
conv1.weight,0.1,0.6543318649045521,0,0
conv1.weight,0.2,0.5656387665198238,0,0
conv1.weight,0.30000000000000004,0.5229564366128243,0,0
conv1.weight,0.4,0.19187469407733726,0,0
conv1.weight,0.5,0.12021536955457661,0,0
conv1.weight,0.6000000000000001,0.07753303964757709,0,0
conv1.weight,0.7000000000000001,0.02858541360744004,0,0
conv1.weight,0.8,0.021047479197258932,0,0
conv1.weight,0.9,0.007537934410181107,0,0
bneck.0.conv1.weight,0.0,0.6613803230543319,0,0
bneck.0.conv1.weight,0.1,0.6658835046500244,0,0
bneck.0.conv1.weight,0.2,0.4643171806167401,0,0
bneck.0.conv1.weight,0.30000000000000004,0.18198727361722958,0,0
bneck.0.conv1.weight,0.4,0.021830641213901127,0,0
bneck.0.conv1.weight,0.5,0.0461086637298091,0,0
bneck.0.conv1.weight,0.6000000000000001,0.011649534997552618,0,0
bneck.0.conv1.weight,0.7000000000000001,0.0052863436123348016,0,0
bneck.0.conv1.weight,0.8,0.003915810083210965,0,0
bneck.0.conv1.weight,0.9,0.004013705335291239,0,0
bneck.0.conv2.weight,0.0,0.6613803230543319,0,0
bneck.0.conv2.weight,0.1,0.6392559960841899,0,0
bneck.0.conv2.weight,0.2,0.4947626040137053,0,0
bneck.0.conv2.weight,0.30000000000000004,0.41967694566813507,0,0
bneck.0.conv2.weight,0.4,0.3591776798825257,0,0
bneck.0.conv2.weight,0.5,0.2143906020558003,0,0
bneck.0.conv2.weight,0.6000000000000001,0.14057758198727363,0,0
bneck.0.conv2.weight,0.7000000000000001,0.06529613313754283,0,0
bneck.0.conv2.weight,0.8,0.008908467939304944,0,0
bneck.0.conv2.weight,0.9,0.001860009789525208,0,0
bneck.0.conv3.weight,0.0,0.6613803230543319,0,0
bneck.0.conv3.weight,0.1,0.5478218306412139,0,0
bneck.0.conv3.weight,0.2,0.5425354870288791,0,0
