parameter,sparsity,top1,top5,loss
conv1.weight,0.0,0.7710262,0,0
conv1.weight,0.1,0.7710262,0,0
conv1.weight,0.2,0.7710262,0,0
conv1.weight,0.30000000000000004,0.7716298,0,0
conv1.weight,0.4,0.767002,0,0
conv1.weight,0.5,0.761167,0,0
conv1.weight,0.6000000000000001,0.7694165,0,0
conv1.weight,0.7000000000000001,0.695171,0,0
conv1.weight,0.8,0.610664,0,0
conv1.weight,0.9,0.5422535,0,0
layer1.0.conv1.weight,0.0,0.7710262,0,0
layer1.0.conv1.weight,0.1,0.7702213,0,0
layer1.0.conv1.weight,0.2,0.7668008,0,0
layer1.0.conv1.weight,0.30000000000000004,0.7585513,0,0
layer1.0.conv1.weight,0.4,0.7605634,0,0
layer1.0.conv1.weight,0.5,0.7032193,0,0
layer1.0.conv1.weight,0.6000000000000001,0.7545272,0,0
layer1.0.conv1.weight,0.7000000000000001,0.6907445,0,0
layer1.0.conv1.weight,0.8,0.5818913,0,0
layer1.0.conv1.weight,0.9,0.2885312,0,0
layer1.0.conv2.weight,0.0,0.7710262,0,0
layer1.0.conv2.weight,0.1,0.7710262,0,0
layer1.0.conv2.weight,0.2,0.7710262,0,0
layer1.0.conv2.weight,0.30000000000000004,0.7676056,0,0
layer1.0.conv2.weight,0.4,0.7756539,0,0
layer1.0.conv2.weight,0.5,0.7708249,0,0
layer1.0.conv2.weight,0.6000000000000001,0.7682093,0,0
layer1.0.conv2.weight,0.7000000000000001,0.7156942,0,0
layer1.0.conv2.weight,0.8,0.7442656,0,0
layer1.0.conv2.weight,0.9,0.6142857,0,0
layer1.0.downsample.0.weight,0.0,0.7710262,0,0
layer1.0.downsample.0.weight,0.1,0.7708249,0,0
layer1.0.downsample.0.weight,0.2,0.7710262,0,0
layer1.0.downsample.0.weight,0.30000000000000004,0.7653924,0,0
layer1.0.downsample.0.weight,0.4,0.789336,0,0
layer1.0.downsample.0.weight,0.5,0.7549296,0,0
layer1.0.downsample.0.weight,0.6000000000000001,0.731992,0,0
