parameter,sparsity,top1,top5,loss
conv1.weight,0.0,0.7710262,0,0
conv1.weight,0.1,0.7710262,0,0
conv1.weight,0.2,0.7710262,0,0
conv1.weight,0.30000000000000004,0.7716298,0,0
conv1.weight,0.4,0.765996,0,0
conv1.weight,0.5,0.765996,0,0
conv1.weight,0.6000000000000001,0.7746479,0,0
conv1.weight,0.7000000000000001,0.695171,0,0
conv1.weight,0.8,0.6370221,0,0
conv1.weight,0.9,0.5422535,0,0
layer1.0.conv1.weight,0.0,0.7710262,0,0
layer1.0.conv1.weight,0.1,0.7661972,0,0
layer1.0.conv1.weight,0.2,0.7561368,0,0
layer1.0.conv1.weight,0.30000000000000004,0.7511066,0,0
layer1.0.conv1.weight,0.4,0.7748491,0,0
layer1.0.conv1.weight,0.5,0.7338028,0,0
layer1.0.conv1.weight,0.6000000000000001,0.7004024,0,0
layer1.0.conv1.weight,0.7000000000000001,0.684507,0,0
layer1.0.conv1.weight,0.8,0.5503018,0,0
layer1.0.conv1.weight,0.9,0.0257545,0,0
layer1.0.conv2.weight,0.0,0.7710262,0,0
layer1.0.conv2.weight,0.1,0.7710262,0,0
layer1.0.conv2.weight,0.2,0.7710262,0,0
layer1.0.conv2.weight,0.30000000000000004,0.7726358,0,0
layer1.0.conv2.weight,0.4,0.7756539,0,0
layer1.0.conv2.weight,0.5,0.7832998,0,0
layer1.0.conv2.weight,0.6000000000000001,0.7682093,0,0
layer1.0.conv2.weight,0.7000000000000001,0.7030181,0,0
layer1.0.conv2.weight,0.8,0.7386318,0,0
layer1.0.conv2.weight,0.9,0.6201207,0,0
layer1.0.downsample.0.weight,0.0,0.7710262,0,0
layer1.0.downsample.0.weight,0.1,0.7708249,0,0
layer1.0.downsample.0.weight,0.2,0.7710262,0,0
layer1.0.downsample.0.weight,0.30000000000000004,0.7653924,0,0
layer1.0.downsample.0.weight,0.4,0.789336,0,0
layer1.0.downsample.0.weight,0.5,0.772837,0,0
layer1.0.downsample.0.weight,0.6000000000000001,0.6790744,0,0
