parameter,sparsity,top1,top5,loss
conv1.weight,0.0,0.6335780714635341,0,0
conv1.weight,0.1,0.5758198727361723,0,0
conv1.weight,0.2,0.4454233969652472,0,0
conv1.weight,0.30000000000000004,0.34429760156632405,0,0
conv1.weight,0.4,0.30974057758198725,0,0
conv1.weight,0.5,0.2845814977973568,0,0
conv1.weight,0.6000000000000001,0.2022515907978463,0,0
conv1.weight,0.7000000000000001,0.15859030837004406,0,0
conv1.weight,0.8,0.10141948115516397,0,0
conv1.weight,0.9,0.037591776798825256,0,0
layer1.0.conv1.weight,0.0,0.6335780714635341,0,0
layer1.0.conv1.weight,0.1,0.5317670093000489,0,0
layer1.0.conv1.weight,0.2,0.4151737640724425,0,0
layer1.0.conv1.weight,0.30000000000000004,0.2290748898678414,0,0
layer1.0.conv1.weight,0.4,0.2226138032305433,0,0
layer1.0.conv1.weight,0.5,0.17934410181106217,0,0
layer1.0.conv1.weight,0.6000000000000001,0.1122858541360744,0,0
layer1.0.conv1.weight,0.7000000000000001,0.048458149779735685,0,0
layer1.0.conv1.weight,0.8,0.015467449828683309,0,0
layer1.0.conv1.weight,0.9,0.0033284385707293197,0,0
layer1.0.conv2.weight,0.0,0.6335780714635341,0,0
layer1.0.conv2.weight,0.1,0.668232990699951,0,0
layer1.0.conv2.weight,0.2,0.6262359275575134,0,0
layer1.0.conv2.weight,0.30000000000000004,0.6254527655408713,0,0
layer1.0.conv2.weight,0.4,0.4741067058247675,0,0
layer1.0.conv2.weight,0.5,0.3285364659813999,0,0
layer1.0.conv2.weight,0.6000000000000001,0.25501713166911405,0,0
layer1.0.conv2.weight,0.7000000000000001,0.225354870288791,0,0
layer1.0.conv2.weight,0.8,0.11590797846304454,0,0
layer1.0.conv2.weight,0.9,0.06833088595203132,0,0
layer1.0.downsample.0.weight,0.0,0.6335780714635341,0,0
layer1.0.downsample.0.weight,0.1,0.6466960352422908,0,0
layer1.0.downsample.0.weight,0.2,0.6442486539402839,0,0
layer1.0.downsample.0.weight,0.30000000000000004,0.5283406754772394,0,0
layer1.0.downsample.0.weight,0.4,0.4048947626040137,0,0
