parameter,sparsity,top1,top5,loss
conv1.conv.weight,0.0,0.9866666666666667,0,0
conv1.conv.weight,0.1,0.9866666666666667,0,0
conv1.conv.weight,0.2,0.9866666666666667,0,0
conv1.conv.weight,0.30000000000000004,0.9866666666666667,0,0
conv1.conv.weight,0.4,0.9858333333333335,0,0
conv1.conv.weight,0.5,0.9856666666666667,0,0
conv1.conv.weight,0.6000000000000001,0.9853333333333334,0,0
conv1.conv.weight,0.7000000000000001,0.9858333333333335,0,0
conv1.conv.weight,0.8,0.9845,0,0
conv1.conv.weight,0.9,0.985,0,0
conv2_dw.model.0.conv.conv.weight,0.0,0.9866666666666667,0,0
conv2_dw.model.0.conv.conv.weight,0.1,0.9866666666666667,0,0
conv2_dw.model.0.conv.conv.weight,0.2,0.9866666666666667,0,0
conv2_dw.model.0.conv.conv.weight,0.30000000000000004,0.9866666666666667,0,0
conv2_dw.model.0.conv.conv.weight,0.4,0.9866666666666667,0,0
conv2_dw.model.0.conv.conv.weight,0.5,0.9866666666666667,0,0
conv2_dw.model.0.conv.conv.weight,0.6000000000000001,0.9866666666666667,0,0
conv2_dw.model.0.conv.conv.weight,0.7000000000000001,0.9851666666666666,0,0
conv2_dw.model.0.conv.conv.weight,0.8,0.9851666666666666,0,0
conv2_dw.model.0.conv.conv.weight,0.9,0.9816666666666667,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.0,0.9866666666666667,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.1,0.9866666666666667,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.2,0.9866666666666667,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.30000000000000004,0.9866666666666667,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.4,0.9866666666666667,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.5,0.9866666666666667,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.6000000000000001,0.9866666666666667,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.7000000000000001,0.9855,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.8,0.9398333333333333,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.9,0.922,0,0
conv2_dw.model.0.project.conv.weight,0.0,0.9866666666666667,0,0
conv2_dw.model.0.project.conv.weight,0.1,0.9866666666666667,0,0
conv2_dw.model.0.project.conv.weight,0.2,0.9866666666666667,0,0
conv2_dw.model.0.project.conv.weight,0.30000000000000004,0.9861666666666669,0,0
conv2_dw.model.0.project.conv.weight,0.4,0.9858333333333332,0,0
conv2_dw.model.0.project.conv.weight,0.5,0.9861666666666666,0,0
conv2_dw.model.0.project.conv.weight,0.6000000000000001,0.9833333333333334,0,0
conv2_dw.model.0.project.conv.weight,0.7000000000000001,0.9783333333333333,0,0
conv2_dw.model.0.project.conv.weight,0.8,0.9556666666666667,0,0
