parameter,sparsity,top1,top5,loss
conv1.conv.weight,0.0,0.865173,0,0
conv1.conv.weight,0.1,0.865173,0,0
conv1.conv.weight,0.2,0.865173,0,0
conv1.conv.weight,0.30000000000000004,0.8628145,0,0
conv1.conv.weight,0.4,0.8726415,0,0
conv1.conv.weight,0.5,0.8639937,0,0
conv1.conv.weight,0.6000000000000001,0.8667453,0,0
conv1.conv.weight,0.7000000000000001,0.8333333,0,0
conv1.conv.weight,0.8,0.7912736,0,0
conv1.conv.weight,0.9,0.3376572,0,0
conv2_dw.model.0.conv.conv.weight,0.0,0.865173,0,0
conv2_dw.model.0.conv.conv.weight,0.1,0.865173,0,0
conv2_dw.model.0.conv.conv.weight,0.2,0.8632075,0,0
conv2_dw.model.0.conv.conv.weight,0.30000000000000004,0.8636006,0,0
conv2_dw.model.0.conv.conv.weight,0.4,0.8671384,0,0
conv2_dw.model.0.conv.conv.weight,0.5,0.8624214,0,0
conv2_dw.model.0.conv.conv.weight,0.6000000000000001,0.8616352,0,0
conv2_dw.model.0.conv.conv.weight,0.7000000000000001,0.8396226,0,0
conv2_dw.model.0.conv.conv.weight,0.8,0.7511792,0,0
conv2_dw.model.0.conv.conv.weight,0.9,0.4583333,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.0,0.865173,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.1,0.8647799,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.2,0.8592767,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.30000000000000004,0.8549528,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.4,0.8466981,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.5,0.841195,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.6000000000000001,0.8262579,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.7000000000000001,0.7496069,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.8,0.6914308,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.9,0.6116352,0,0
conv2_dw.model.0.project.conv.weight,0.0,0.865173,0,0
conv2_dw.model.0.project.conv.weight,0.1,0.8639937,0,0
conv2_dw.model.0.project.conv.weight,0.2,0.8592767,0,0
conv2_dw.model.0.project.conv.weight,0.30000000000000004,0.8514151,0,0
conv2_dw.model.0.project.conv.weight,0.4,0.841195,0,0
conv2_dw.model.0.project.conv.weight,0.5,0.846305,0,0
conv2_dw.model.0.project.conv.weight,0.6000000000000001,0.7865566,0,0
conv2_dw.model.0.project.conv.weight,0.7000000000000001,0.7220912,0,0
conv2_dw.model.0.project.conv.weight,0.8,0.6576258,0,0
conv2_dw.model.0.project.conv.weight,0.9,0.4716981,0,0
conv2_dw.model.1.conv.conv.weight,0.0,0.865173,0,0
conv2_dw.model.1.conv.conv.weight,0.1,0.8596698,0,0
conv2_dw.model.1.conv.conv.weight,0.2,0.8592767,0,0
conv2_dw.model.1.conv.conv.weight,0.30000000000000004,0.8537736,0,0
conv2_dw.model.1.conv.conv.weight,0.4,0.8498428,0,0
conv2_dw.model.1.conv.conv.weight,0.5,0.8459119,0,0
conv2_dw.model.1.conv.conv.weight,0.6000000000000001,0.8419811,0,0
conv2_dw.model.1.conv.conv.weight,0.7000000000000001,0.831761,0,0
conv2_dw.model.1.conv.conv.weight,0.8,0.7952044,0,0
conv2_dw.model.1.conv.conv.weight,0.9,0.769261,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.0,0.865173,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.1,0.8624214,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.2,0.8636006,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.30000000000000004,0.8541667,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.4,0.8525943,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.5,0.8415881,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.6000000000000001,0.8262579,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.7000000000000001,0.8388365,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.8,0.8003145,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.9,0.7720126,0,0
conv2_dw.model.1.project.conv.weight,0.0,0.865173,0,0
conv2_dw.model.1.project.conv.weight,0.1,0.865566,0,0
conv2_dw.model.1.project.conv.weight,0.2,0.8647799,0,0
conv2_dw.model.1.project.conv.weight,0.30000000000000004,0.8639937,0,0
conv2_dw.model.1.project.conv.weight,0.4,0.8569182,0,0
conv2_dw.model.1.project.conv.weight,0.5,0.846305,0,0
conv2_dw.model.1.project.conv.weight,0.6000000000000001,0.8455189,0,0
conv2_dw.model.1.project.conv.weight,0.7000000000000001,0.8164308,0,0
conv2_dw.model.1.project.conv.weight,0.8,0.8211478,0,0
conv2_dw.model.1.project.conv.weight,0.9,0.8042453,0,0
conv_23.conv.conv.weight,0.0,0.865173,0,0
conv_23.conv.conv.weight,0.1,0.8565252,0,0
conv_23.conv.conv.weight,0.2,0.8392296,0,0
conv_23.conv.conv.weight,0.30000000000000004,0.8246855,0,0
conv_23.conv.conv.weight,0.4,0.7826258,0,0
conv_23.conv.conv.weight,0.5,0.7350629,0,0
conv_23.conv.conv.weight,0.6000000000000001,0.6650943,0,0
conv_23.conv.conv.weight,0.7000000000000001,0.5566038,0,0
conv_23.conv.conv.weight,0.8,0.3066038,0,0
conv_23.conv.conv.weight,0.9,0.0243711,0,0
conv_23.conv_dw.conv.weight,0.0,0.865173,0,0
conv_23.conv_dw.conv.weight,0.1,0.8274371,0,0
conv_23.conv_dw.conv.weight,0.2,0.7841981,0,0
conv_23.conv_dw.conv.weight,0.30000000000000004,0.663522,0,0
conv_23.conv_dw.conv.weight,0.4,0.6053459,0,0
conv_23.conv_dw.conv.weight,0.5,0.5428459,0,0
conv_23.conv_dw.conv.weight,0.6000000000000001,0.3639937,0,0
conv_23.conv_dw.conv.weight,0.7000000000000001,0.2106918,0,0
conv_23.conv_dw.conv.weight,0.8,0.023978,0,0
conv_23.conv_dw.conv.weight,0.9,0.0007862,0,0
conv_23.project.conv.weight,0.0,0.865173,0,0
conv_23.project.conv.weight,0.1,0.8584906,0,0
conv_23.project.conv.weight,0.2,0.8553459,0,0
conv_23.project.conv.weight,0.30000000000000004,0.8349057,0,0
conv_23.project.conv.weight,0.4,0.8262579,0,0
conv_23.project.conv.weight,0.5,0.8007075,0,0
conv_23.project.conv.weight,0.6000000000000001,0.7841981,0,0
conv_23.project.conv.weight,0.7000000000000001,0.7393868,0,0
conv_23.project.conv.weight,0.8,0.509434,0,0
conv_23.project.conv.weight,0.9,0.2464623,0,0
conv_3.model.0.conv.conv.weight,0.0,0.865173,0,0
conv_3.model.0.conv.conv.weight,0.1,0.8616352,0,0
conv_3.model.0.conv.conv.weight,0.2,0.8588836,0,0
conv_3.model.0.conv.conv.weight,0.30000000000000004,0.8549528,0,0
conv_3.model.0.conv.conv.weight,0.4,0.855739,0,0
conv_3.model.0.conv.conv.weight,0.5,0.8518082,0,0
conv_3.model.0.conv.conv.weight,0.6000000000000001,0.8514151,0,0
conv_3.model.0.conv.conv.weight,0.7000000000000001,0.8498428,0,0
conv_3.model.0.conv.conv.weight,0.8,0.851022,0,0
conv_3.model.0.conv.conv.weight,0.9,0.8400157,0,0
conv_3.model.0.conv_dw.conv.weight,0.0,0.865173,0,0
conv_3.model.0.conv_dw.conv.weight,0.1,0.8596698,0,0
conv_3.model.0.conv_dw.conv.weight,0.2,0.8580975,0,0
conv_3.model.0.conv_dw.conv.weight,0.30000000000000004,0.8400157,0,0
conv_3.model.0.conv_dw.conv.weight,0.4,0.8313679,0,0
