parameter,sparsity,top1,top5,loss
conv1.conv.weight,0.0,0.7479527,0,0
conv1.conv.weight,0.1,0.7484076,0,0
conv1.conv.weight,0.2,0.7341523,0,0
conv1.conv.weight,0.30000000000000004,0.7245981,0,0
conv1.conv.weight,0.4,0.7383985,0,0
conv1.conv.weight,0.5,0.6833485,0,0
conv1.conv.weight,0.6000000000000001,0.6648468,0,0
conv1.conv.weight,0.7000000000000001,0.6612072,0,0
conv1.conv.weight,0.8,0.618896,0,0
conv1.conv.weight,0.9,0.0409463,0,0
conv2_dw.model.0.conv.conv.weight,0.0,0.7479527,0,0
conv2_dw.model.0.conv.conv.weight,0.1,0.7479527,0,0
conv2_dw.model.0.conv.conv.weight,0.2,0.7479527,0,0
conv2_dw.model.0.conv.conv.weight,0.30000000000000004,0.7479527,0,0
conv2_dw.model.0.conv.conv.weight,0.4,0.748256,0,0
conv2_dw.model.0.conv.conv.weight,0.5,0.7509857,0,0
conv2_dw.model.0.conv.conv.weight,0.6000000000000001,0.7423415,0,0
conv2_dw.model.0.conv.conv.weight,0.7000000000000001,0.6290567,0,0
conv2_dw.model.0.conv.conv.weight,0.8,0.6267819,0,0
conv2_dw.model.0.conv.conv.weight,0.9,0.6087352,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.0,0.7479527,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.1,0.7479527,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.2,0.7479527,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.30000000000000004,0.7479527,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.4,0.7479527,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.5,0.7374886,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.6000000000000001,0.6916894,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.7000000000000001,0.7230816,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.8,0.7101911,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.9,0.7151956,0,0
conv2_dw.model.0.project.conv.weight,0.0,0.7479527,0,0
conv2_dw.model.0.project.conv.weight,0.1,0.7474977,0,0
conv2_dw.model.0.project.conv.weight,0.2,0.7464362,0,0
conv2_dw.model.0.project.conv.weight,0.30000000000000004,0.7318775,0,0
conv2_dw.model.0.project.conv.weight,0.4,0.7400667,0,0
conv2_dw.model.0.project.conv.weight,0.5,0.7038217,0,0
conv2_dw.model.0.project.conv.weight,0.6000000000000001,0.6960874,0,0
conv2_dw.model.0.project.conv.weight,0.7000000000000001,0.7083712,0,0
conv2_dw.model.0.project.conv.weight,0.8,0.659084,0,0
