parameter,sparsity,top1,top5,loss
conv1.conv.weight,0.0,0.7479527,0,0
conv1.conv.weight,0.1,0.7484076,0,0
conv1.conv.weight,0.2,0.7379436,0,0
conv1.conv.weight,0.30000000000000004,0.7242948,0,0
conv1.conv.weight,0.4,0.7317258,0,0
conv1.conv.weight,0.5,0.6847134,0,0
conv1.conv.weight,0.6000000000000001,0.6891113,0,0
conv1.conv.weight,0.7000000000000001,0.6612072,0,0
conv1.conv.weight,0.8,0.618896,0,0
conv1.conv.weight,0.9,0.0254777,0,0
conv2_dw.model.0.conv.conv.weight,0.0,0.7479527,0,0
conv2_dw.model.0.conv.conv.weight,0.1,0.7479527,0,0
conv2_dw.model.0.conv.conv.weight,0.2,0.7479527,0,0
conv2_dw.model.0.conv.conv.weight,0.30000000000000004,0.7479527,0,0
conv2_dw.model.0.conv.conv.weight,0.4,0.748256,0,0
conv2_dw.model.0.conv.conv.weight,0.5,0.6474067,0,0
conv2_dw.model.0.conv.conv.weight,0.6000000000000001,0.6487716,0,0
conv2_dw.model.0.conv.conv.weight,0.7000000000000001,0.6464968,0,0
conv2_dw.model.0.conv.conv.weight,0.8,0.5808311,0,0
conv2_dw.model.0.conv.conv.weight,0.9,0.5919017,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.0,0.7479527,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.1,0.7479527,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.2,0.7479527,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.30000000000000004,0.7479527,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.4,0.7479527,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.5,0.7330907,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.6000000000000001,0.6807704,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.7000000000000001,0.6994237,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.8,0.714589,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.9,0.6845617,0,0
conv2_dw.model.0.project.conv.weight,0.0,0.7479527,0,0
conv2_dw.model.0.project.conv.weight,0.1,0.7476494,0,0
conv2_dw.model.0.project.conv.weight,0.2,0.7464362,0,0
conv2_dw.model.0.project.conv.weight,0.30000000000000004,0.7318775,0,0
conv2_dw.model.0.project.conv.weight,0.4,0.7382469,0,0
conv2_dw.model.0.project.conv.weight,0.5,0.7004853,0,0
conv2_dw.model.0.project.conv.weight,0.6000000000000001,0.6982105,0,0
conv2_dw.model.0.project.conv.weight,0.7000000000000001,0.6792539,0,0
conv2_dw.model.0.project.conv.weight,0.8,0.7253564,0,0
