parameter,sparsity,top1,top5,loss
conv1.conv.weight,0.0,0.751587,0,0
conv1.conv.weight,0.1,0.7515035,0,0
conv1.conv.weight,0.2,0.7527564,0,0
conv1.conv.weight,0.30000000000000004,0.7517541,0,0
conv1.conv.weight,0.4,0.7502506,0,0
conv1.conv.weight,0.5,0.7324591,0,0
conv1.conv.weight,0.6000000000000001,0.6909455,0,0
conv1.conv.weight,0.7000000000000001,0.6734046,0,0
conv1.conv.weight,0.8,0.6740728,0,0
conv1.conv.weight,0.9,0.017708,0,0
conv2_dw.model.0.conv.conv.weight,0.0,0.751587,0,0
conv2_dw.model.0.conv.conv.weight,0.1,0.751587,0,0
conv2_dw.model.0.conv.conv.weight,0.2,0.751587,0,0
conv2_dw.model.0.conv.conv.weight,0.30000000000000004,0.751587,0,0
conv2_dw.model.0.conv.conv.weight,0.4,0.7517541,0,0
conv2_dw.model.0.conv.conv.weight,0.5,0.7530905,0,0
conv2_dw.model.0.conv.conv.weight,0.6000000000000001,0.7424825,0,0
conv2_dw.model.0.conv.conv.weight,0.7000000000000001,0.7132476,0,0
conv2_dw.model.0.conv.conv.weight,0.8,0.7018042,0,0
conv2_dw.model.0.conv.conv.weight,0.9,0.7246909,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.0,0.751587,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.1,0.751587,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.2,0.751587,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.30000000000000004,0.751587,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.4,0.7494153,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.5,0.7591881,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.6000000000000001,0.7344637,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.7000000000000001,0.6535249,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.8,0.643585,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.9,0.6251253,0,0
conv2_dw.model.0.project.conv.weight,0.0,0.751587,0,0
conv2_dw.model.0.project.conv.weight,0.1,0.7521717,0,0
conv2_dw.model.0.project.conv.weight,0.2,0.75142,0,0
conv2_dw.model.0.project.conv.weight,0.30000000000000004,0.756014,0,0
conv2_dw.model.0.project.conv.weight,0.4,0.7586869,0,0
conv2_dw.model.0.project.conv.weight,0.5,0.7546776,0,0
conv2_dw.model.0.project.conv.weight,0.6000000000000001,0.7596057,0,0
conv2_dw.model.0.project.conv.weight,0.7000000000000001,0.7121617,0,0
conv2_dw.model.0.project.conv.weight,0.8,0.6748246,0,0
conv2_dw.model.0.project.conv.weight,0.9,0.7009689,0,0
conv2_dw.model.1.conv.conv.weight,0.0,0.751587,0,0
conv2_dw.model.1.conv.conv.weight,0.1,0.751587,0,0
conv2_dw.model.1.conv.conv.weight,0.2,0.7612763,0,0
conv2_dw.model.1.conv.conv.weight,0.30000000000000004,0.7554293,0,0
conv2_dw.model.1.conv.conv.weight,0.4,0.757267,0,0
conv2_dw.model.1.conv.conv.weight,0.5,0.7400601,0,0
conv2_dw.model.1.conv.conv.weight,0.6000000000000001,0.7297026,0,0
conv2_dw.model.1.conv.conv.weight,0.7000000000000001,0.6835951,0,0
conv2_dw.model.1.conv.conv.weight,0.8,0.6445874,0,0
conv2_dw.model.1.conv.conv.weight,0.9,0.6277147,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.0,0.751587,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.1,0.751587,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.2,0.7559305,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.30000000000000004,0.7358837,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.4,0.6741564,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.5,0.6305546,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.6000000000000001,0.6836786,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.7000000000000001,0.3343635,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.8,0.3416305,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.9,0.2138323,0,0
conv2_dw.model.1.project.conv.weight,0.0,0.751587,0,0
conv2_dw.model.1.project.conv.weight,0.1,0.751587,0,0
conv2_dw.model.1.project.conv.weight,0.2,0.7517541,0,0
conv2_dw.model.1.project.conv.weight,0.30000000000000004,0.7524223,0,0
conv2_dw.model.1.project.conv.weight,0.4,0.7487471,0,0
conv2_dw.model.1.project.conv.weight,0.5,0.745573,0,0
conv2_dw.model.1.project.conv.weight,0.6000000000000001,0.729285,0,0
conv2_dw.model.1.project.conv.weight,0.7000000000000001,0.7405613,0,0
conv2_dw.model.1.project.conv.weight,0.8,0.7500835,0,0
conv2_dw.model.1.project.conv.weight,0.9,0.6830104,0,0
conv_23.conv.conv.weight,0.0,0.751587,0,0
conv_23.conv.conv.weight,0.1,0.7520882,0,0
conv_23.conv.conv.weight,0.2,0.7770631,0,0
conv_23.conv.conv.weight,0.30000000000000004,0.7450718,0,0
conv_23.conv.conv.weight,0.4,0.7568493,0,0
conv_23.conv.conv.weight,0.5,0.7133311,0,0
conv_23.conv.conv.weight,0.6000000000000001,0.7091547,0,0
conv_23.conv.conv.weight,0.7000000000000001,0.6637153,0,0
conv_23.conv.conv.weight,0.8,0.451303,0,0
conv_23.conv.conv.weight,0.9,0.1183595,0,0
conv_23.conv_dw.conv.weight,0.0,0.751587,0,0
conv_23.conv_dw.conv.weight,0.1,0.7489141,0,0
conv_23.conv_dw.conv.weight,0.2,0.7373037,0,0
conv_23.conv_dw.conv.weight,0.30000000000000004,0.7844972,0,0
conv_23.conv_dw.conv.weight,0.4,0.7559305,0,0
conv_23.conv_dw.conv.weight,0.5,0.7550117,0,0
conv_23.conv_dw.conv.weight,0.6000000000000001,0.7113264,0,0
conv_23.conv_dw.conv.weight,0.7000000000000001,0.4063649,0,0
conv_23.conv_dw.conv.weight,0.8,0.2089876,0,0
conv_23.conv_dw.conv.weight,0.9,8.35e-05,0,0
conv_23.project.conv.weight,0.0,0.751587,0,0
conv_23.project.conv.weight,0.1,0.7757267,0,0
conv_23.project.conv.weight,0.2,0.7709656,0,0
conv_23.project.conv.weight,0.30000000000000004,0.4369362,0,0
conv_23.project.conv.weight,0.4,0.4686769,0,0
conv_23.project.conv.weight,0.5,0.4252422,0,0
conv_23.project.conv.weight,0.6000000000000001,0.3443869,0,0
conv_23.project.conv.weight,0.7000000000000001,0.2477447,0,0
conv_23.project.conv.weight,0.8,0.0038423,0,0
conv_23.project.conv.weight,0.9,0.0,0,0
conv_3.model.0.conv.conv.weight,0.0,0.751587,0,0
conv_3.model.0.conv.conv.weight,0.1,0.751587,0,0
conv_3.model.0.conv.conv.weight,0.2,0.7520882,0,0
conv_3.model.0.conv.conv.weight,0.30000000000000004,0.7508353,0,0
conv_3.model.0.conv.conv.weight,0.4,0.7548446,0,0
conv_3.model.0.conv.conv.weight,0.5,0.7454895,0,0
conv_3.model.0.conv.conv.weight,0.6000000000000001,0.7529235,0,0
conv_3.model.0.conv.conv.weight,0.7000000000000001,0.7575175,0,0
