parameter,sparsity,top1,top5,loss
conv1.conv.weight,0.0,0.751587,0,0
conv1.conv.weight,0.1,0.751587,0,0
conv1.conv.weight,0.2,0.7517541,0,0
conv1.conv.weight,0.30000000000000004,0.7464083,0,0
conv1.conv.weight,0.4,0.7489141,0,0
conv1.conv.weight,0.5,0.7389743,0,0
conv1.conv.weight,0.6000000000000001,0.7311226,0,0
conv1.conv.weight,0.7000000000000001,0.6734046,0,0
conv1.conv.weight,0.8,0.6740728,0,0
conv1.conv.weight,0.9,0.0326595,0,0
conv2_dw.model.0.conv.conv.weight,0.0,0.751587,0,0
conv2_dw.model.0.conv.conv.weight,0.1,0.751587,0,0
conv2_dw.model.0.conv.conv.weight,0.2,0.751587,0,0
conv2_dw.model.0.conv.conv.weight,0.30000000000000004,0.751587,0,0
conv2_dw.model.0.conv.conv.weight,0.4,0.7517541,0,0
conv2_dw.model.0.conv.conv.weight,0.5,0.6871032,0,0
conv2_dw.model.0.conv.conv.weight,0.6000000000000001,0.6823421,0,0
conv2_dw.model.0.conv.conv.weight,0.7000000000000001,0.7312897,0,0
conv2_dw.model.0.conv.conv.weight,0.8,0.7082359,0,0
conv2_dw.model.0.conv.conv.weight,0.9,0.695289,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.0,0.751587,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.1,0.751587,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.2,0.751587,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.30000000000000004,0.751587,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.4,0.7494153,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.5,0.7596893,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.6000000000000001,0.7322085,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.7000000000000001,0.7122452,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.8,0.6660541,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.9,0.6396592,0,0
conv2_dw.model.0.project.conv.weight,0.0,0.751587,0,0
conv2_dw.model.0.project.conv.weight,0.1,0.7519211,0,0
conv2_dw.model.0.project.conv.weight,0.2,0.75142,0,0
conv2_dw.model.0.project.conv.weight,0.30000000000000004,0.756014,0,0
conv2_dw.model.0.project.conv.weight,0.4,0.7584364,0,0
conv2_dw.model.0.project.conv.weight,0.5,0.7547611,0,0
conv2_dw.model.0.project.conv.weight,0.6000000000000001,0.7581022,0,0
conv2_dw.model.0.project.conv.weight,0.7000000000000001,0.7513365,0,0
conv2_dw.model.0.project.conv.weight,0.8,0.6838456,0,0
conv2_dw.model.0.project.conv.weight,0.9,0.715837,0,0
conv2_dw.model.1.conv.conv.weight,0.0,0.751587,0,0
conv2_dw.model.1.conv.conv.weight,0.1,0.751587,0,0
conv2_dw.model.1.conv.conv.weight,0.2,0.7612763,0,0
conv2_dw.model.1.conv.conv.weight,0.30000000000000004,0.7503341,0,0
conv2_dw.model.1.conv.conv.weight,0.4,0.7546776,0,0
conv2_dw.model.1.conv.conv.weight,0.5,0.7240227,0,0
conv2_dw.model.1.conv.conv.weight,0.6000000000000001,0.7063147,0,0
conv2_dw.model.1.conv.conv.weight,0.7000000000000001,0.690862,0,0
conv2_dw.model.1.conv.conv.weight,0.8,0.6797528,0,0
conv2_dw.model.1.conv.conv.weight,0.9,0.6798363,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.0,0.751587,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.1,0.751587,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.2,0.7613598,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.30000000000000004,0.7436519,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.4,0.6757434,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.5,0.689442,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.6000000000000001,0.5965586,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.7000000000000001,0.6521884,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.8,0.5973939,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.9,0.6467591,0,0
conv2_dw.model.1.project.conv.weight,0.0,0.751587,0,0
conv2_dw.model.1.project.conv.weight,0.1,0.751587,0,0
conv2_dw.model.1.project.conv.weight,0.2,0.7517541,0,0
conv2_dw.model.1.project.conv.weight,0.30000000000000004,0.7524223,0,0
conv2_dw.model.1.project.conv.weight,0.4,0.7506682,0,0
conv2_dw.model.1.project.conv.weight,0.5,0.7272803,0,0
conv2_dw.model.1.project.conv.weight,0.6000000000000001,0.7251921,0,0
conv2_dw.model.1.project.conv.weight,0.7000000000000001,0.7281156,0,0
conv2_dw.model.1.project.conv.weight,0.8,0.7279485,0,0
conv2_dw.model.1.project.conv.weight,0.9,0.6925326,0,0
conv_23.conv.conv.weight,0.0,0.751587,0,0
conv_23.conv.conv.weight,0.1,0.7576011,0,0
conv_23.conv.conv.weight,0.2,0.7794019,0,0
conv_23.conv.conv.weight,0.30000000000000004,0.7419813,0,0
conv_23.conv.conv.weight,0.4,0.7368861,0,0
conv_23.conv.conv.weight,0.5,0.7236051,0,0
