parameter,sparsity,top1,top5,loss
conv1.conv.weight,0.0,0.8233572,0,0
conv1.conv.weight,0.1,0.8233572,0,0
conv1.conv.weight,0.2,0.8206333,0,0
conv1.conv.weight,0.30000000000000004,0.8130065,0,0
conv1.conv.weight,0.4,0.8143003,0,0
conv1.conv.weight,0.5,0.8036091,0,0
conv1.conv.weight,0.6000000000000001,0.7967995,0,0
conv1.conv.weight,0.7000000000000001,0.8023834,0,0
conv1.conv.weight,0.8,0.802111,0,0
conv1.conv.weight,0.9,0.2298264,0,0
conv2_dw.model.0.conv.conv.weight,0.0,0.8233572,0,0
conv2_dw.model.0.conv.conv.weight,0.1,0.8233572,0,0
conv2_dw.model.0.conv.conv.weight,0.2,0.8233572,0,0
conv2_dw.model.0.conv.conv.weight,0.30000000000000004,0.8233572,0,0
conv2_dw.model.0.conv.conv.weight,0.4,0.8233572,0,0
conv2_dw.model.0.conv.conv.weight,0.5,0.8239019,0,0
conv2_dw.model.0.conv.conv.weight,0.6000000000000001,0.8224038,0,0
conv2_dw.model.0.conv.conv.weight,0.7000000000000001,0.7945523,0,0
conv2_dw.model.0.conv.conv.weight,0.8,0.7931903,0,0
conv2_dw.model.0.conv.conv.weight,0.9,0.7869254,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.0,0.8233572,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.1,0.8233572,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.2,0.8233572,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.30000000000000004,0.8233572,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.4,0.8234253,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.5,0.8204971,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.6000000000000001,0.8144365,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.7000000000000001,0.8152537,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.8,0.8037453,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.9,0.7998638,0,0
conv2_dw.model.0.project.conv.weight,0.0,0.8233572,0,0
conv2_dw.model.0.project.conv.weight,0.1,0.8233572,0,0
conv2_dw.model.0.project.conv.weight,0.2,0.8234253,0,0
conv2_dw.model.0.project.conv.weight,0.30000000000000004,0.8244467,0,0
conv2_dw.model.0.project.conv.weight,0.4,0.8236977,0,0
conv2_dw.model.0.project.conv.weight,0.5,0.8162751,0,0
conv2_dw.model.0.project.conv.weight,0.6000000000000001,0.8151856,0,0
conv2_dw.model.0.project.conv.weight,0.7000000000000001,0.8189309,0,0
conv2_dw.model.0.project.conv.weight,0.8,0.8111679,0,0
conv2_dw.model.0.project.conv.weight,0.9,0.815458,0,0
conv2_dw.model.1.conv.conv.weight,0.0,0.8233572,0,0
conv2_dw.model.1.conv.conv.weight,0.1,0.8233572,0,0
conv2_dw.model.1.conv.conv.weight,0.2,0.82397,0,0
conv2_dw.model.1.conv.conv.weight,0.30000000000000004,0.8228124,0,0
