parameter,sparsity,top1,top5,loss
conv1.conv.weight,0.0,0.7888686,0,0
conv1.conv.weight,0.1,0.7888686,0,0
conv1.conv.weight,0.2,0.7888686,0,0
conv1.conv.weight,0.30000000000000004,0.7887985,0,0
conv1.conv.weight,0.4,0.768821,0,0
conv1.conv.weight,0.5,0.7621618,0,0
conv1.conv.weight,0.6000000000000001,0.7620917,0,0
conv1.conv.weight,0.7000000000000001,0.5988364,0,0
conv1.conv.weight,0.8,0.4683864,0,0
conv1.conv.weight,0.9,0.0001402,0,0
conv2_dw.model.0.conv.conv.weight,0.0,0.7888686,0,0
conv2_dw.model.0.conv.conv.weight,0.1,0.7888686,0,0
conv2_dw.model.0.conv.conv.weight,0.2,0.7888686,0,0
conv2_dw.model.0.conv.conv.weight,0.30000000000000004,0.7888686,0,0
conv2_dw.model.0.conv.conv.weight,0.4,0.7756204,0,0
conv2_dw.model.0.conv.conv.weight,0.5,0.7714146,0,0
conv2_dw.model.0.conv.conv.weight,0.6000000000000001,0.7623721,0,0
conv2_dw.model.0.conv.conv.weight,0.7000000000000001,0.7194729,0,0
conv2_dw.model.0.conv.conv.weight,0.8,0.5754942,0,0
conv2_dw.model.0.conv.conv.weight,0.9,0.3408103,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.0,0.7888686,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.1,0.7888686,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.2,0.7888686,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.30000000000000004,0.7888686,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.4,0.0007711,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.5,0.0003505,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.6000000000000001,0.0003505,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.7000000000000001,0.0001402,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.8,0.0001402,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.9,0.0002103,0,0
conv2_dw.model.0.project.conv.weight,0.0,0.7888686,0,0
conv2_dw.model.0.project.conv.weight,0.1,0.7887985,0,0
conv2_dw.model.0.project.conv.weight,0.2,0.7882378,0,0
conv2_dw.model.0.project.conv.weight,0.30000000000000004,0.7937053,0,0
conv2_dw.model.0.project.conv.weight,0.4,0.7812982,0,0
conv2_dw.model.0.project.conv.weight,0.5,0.7677695,0,0
conv2_dw.model.0.project.conv.weight,0.6000000000000001,0.7685406,0,0
conv2_dw.model.0.project.conv.weight,0.7000000000000001,0.7714846,0,0
conv2_dw.model.0.project.conv.weight,0.8,0.6411748,0,0
conv2_dw.model.0.project.conv.weight,0.9,0.5246741,0,0
conv2_dw.model.1.conv.conv.weight,0.0,0.7888686,0,0
conv2_dw.model.1.conv.conv.weight,0.1,0.7888686,0,0
conv2_dw.model.1.conv.conv.weight,0.2,0.7704332,0,0
conv2_dw.model.1.conv.conv.weight,0.30000000000000004,0.7184214,0,0
conv2_dw.model.1.conv.conv.weight,0.4,0.6541427,0,0
conv2_dw.model.1.conv.conv.weight,0.5,0.6514089,0,0
conv2_dw.model.1.conv.conv.weight,0.6000000000000001,0.6271555,0,0
conv2_dw.model.1.conv.conv.weight,0.7000000000000001,0.6283471,0,0
conv2_dw.model.1.conv.conv.weight,0.8,0.5694659,0,0
conv2_dw.model.1.conv.conv.weight,0.9,0.4343895,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.0,0.7888686,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.1,0.7888686,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.2,0.7866956,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.30000000000000004,0.771765,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.4,0.6638862,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.5,0.5750736,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.6000000000000001,0.60872,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.7000000000000001,0.5909155,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.8,0.5573391,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.9,0.5792093,0,0
conv2_dw.model.1.project.conv.weight,0.0,0.7888686,0,0
conv2_dw.model.1.project.conv.weight,0.1,0.7888686,0,0
