parameter,sparsity,top1,top5,loss
backbone.0.weight,0.0,0.7216981,0,0
backbone.0.weight,0.1,0.7216981,0,0
backbone.0.weight,0.2,0.7216981,0,0
backbone.0.weight,0.30000000000000004,0.6902516,0,0
backbone.0.weight,0.4,0.5467767,0,0
backbone.0.weight,0.5,0.303066,0,0
backbone.0.weight,0.6000000000000001,0.1379717,0,0
backbone.0.weight,0.7000000000000001,0.0393082,0,0
backbone.0.weight,0.8,0.0003931,0,0
backbone.0.weight,0.9,0.0,0,0
backbone.4.0.conv1.weight,0.0,0.7216981,0,0
backbone.4.0.conv1.weight,0.1,0.6721698,0,0
backbone.4.0.conv1.weight,0.2,0.6340409,0,0
backbone.4.0.conv1.weight,0.30000000000000004,0.5153302,0,0
backbone.4.0.conv1.weight,0.4,0.5459906,0,0
backbone.4.0.conv1.weight,0.5,0.4634434,0,0
backbone.4.0.conv1.weight,0.6000000000000001,0.3431604,0,0
backbone.4.0.conv1.weight,0.7000000000000001,0.1269654,0,0
backbone.4.0.conv1.weight,0.8,0.0007862,0,0
backbone.4.0.conv1.weight,0.9,0.0011792,0,0
backbone.4.0.conv2.weight,0.0,0.7216981,0,0
backbone.4.0.conv2.weight,0.1,0.7008648,0,0
backbone.4.0.conv2.weight,0.2,0.6839623,0,0
backbone.4.0.conv2.weight,0.30000000000000004,0.6643082,0,0
backbone.4.0.conv2.weight,0.4,0.6627358,0,0
backbone.4.0.conv2.weight,0.5,0.629717,0,0
backbone.4.0.conv2.weight,0.6000000000000001,0.5452044,0,0
backbone.4.0.conv2.weight,0.7000000000000001,0.4846698,0,0
backbone.4.0.conv2.weight,0.8,0.4669811,0,0
backbone.4.0.conv2.weight,0.9,0.3482704,0,0
backbone.4.1.conv1.weight,0.0,0.7216981,0,0
backbone.4.1.conv1.weight,0.1,0.6206761,0,0
backbone.4.1.conv1.weight,0.2,0.5491352,0,0
backbone.4.1.conv1.weight,0.30000000000000004,0.4606918,0,0
backbone.4.1.conv1.weight,0.4,0.4205975,0,0
backbone.4.1.conv1.weight,0.5,0.3333333,0,0
backbone.4.1.conv1.weight,0.6000000000000001,0.2967767,0,0
backbone.4.1.conv1.weight,0.7000000000000001,0.1658805,0,0
backbone.4.1.conv1.weight,0.8,0.0566038,0,0
backbone.4.1.conv1.weight,0.9,0.0204403,0,0
