parameter,sparsity,top1,top5,loss
conv1.weight,0.0,0.6335780714635341,0,0
conv1.weight,0.1,0.561429270680372,0,0
conv1.weight,0.2,0.40959373470386684,0,0
conv1.weight,0.30000000000000004,0.3474302496328928,0,0
conv1.weight,0.4,0.3124816446402349,0,0
conv1.weight,0.5,0.24620655898188937,0,0
conv1.weight,0.6000000000000001,0.22995594713656387,0,0
conv1.weight,0.7000000000000001,0.15408712677435144,0,0
conv1.weight,0.8,0.10141948115516397,0,0
conv1.weight,0.9,0.037591776798825256,0,0
layer1.0.conv1.weight,0.0,0.6335780714635341,0,0
layer1.0.conv1.weight,0.1,0.5134605971610376,0,0
layer1.0.conv1.weight,0.2,0.3784630445423397,0,0
layer1.0.conv1.weight,0.30000000000000004,0.2499265785609398,0,0
layer1.0.conv1.weight,0.4,0.23308859520313266,0,0
layer1.0.conv1.weight,0.5,0.1716103768967205,0,0
layer1.0.conv1.weight,0.6000000000000001,0.10386686245717083,0,0
layer1.0.conv1.weight,0.7000000000000001,0.04630445423396965,0,0
layer1.0.conv1.weight,0.8,0.0109642682329907,0,0
layer1.0.conv1.weight,0.9,0.0033284385707293197,0,0
layer1.0.conv2.weight,0.0,0.6335780714635341,0,0
layer1.0.conv2.weight,0.1,0.6473813020068526,0,0
layer1.0.conv2.weight,0.2,0.6867351933431228,0,0
layer1.0.conv2.weight,0.30000000000000004,0.6254527655408713,0,0
layer1.0.conv2.weight,0.4,0.5345080763582967,0,0
layer1.0.conv2.weight,0.5,0.42711698482623595,0,0
layer1.0.conv2.weight,0.6000000000000001,0.26343612334801764,0,0
layer1.0.conv2.weight,0.7000000000000001,0.24209495839451786,0,0
layer1.0.conv2.weight,0.8,0.12129221732745962,0,0
layer1.0.conv2.weight,0.9,0.06470876162506119,0,0
layer1.0.downsample.0.weight,0.0,0.6335780714635341,0,0
layer1.0.downsample.0.weight,0.1,0.6144884973078806,0,0
layer1.0.downsample.0.weight,0.2,0.6609887420460108,0,0
layer1.0.downsample.0.weight,0.30000000000000004,0.5502692119432208,0,0
layer1.0.downsample.0.weight,0.4,0.4386686245717083,0,0
layer1.0.downsample.0.weight,0.5,0.29319627998042097,0,0
layer1.0.downsample.0.weight,0.6000000000000001,0.20499265785609397,0,0
layer1.0.downsample.0.weight,0.7000000000000001,0.10797846304454234,0,0
layer1.0.downsample.0.weight,0.8,0.09730788056779247,0,0
layer1.0.downsample.0.weight,0.9,0.09065100342633382,0,0
layer1.1.conv1.weight,0.0,0.6335780714635341,0,0
layer1.1.conv1.weight,0.1,0.5316691140479687,0,0
layer1.1.conv1.weight,0.2,0.360352422907489,0,0
layer1.1.conv1.weight,0.30000000000000004,0.2944689182574645,0,0
layer1.1.conv1.weight,0.4,0.2715614292706804,0,0
layer1.1.conv1.weight,0.5,0.20460107684777287,0,0
layer1.1.conv1.weight,0.6000000000000001,0.1361722956436613,0,0
layer1.1.conv1.weight,0.7000000000000001,0.055506607929515416,0,0
layer1.1.conv1.weight,0.8,0.01997063142437592,0,0
layer1.1.conv1.weight,0.9,0.0076358296622613805,0,0
layer1.1.conv2.weight,0.0,0.6335780714635341,0,0
layer1.1.conv2.weight,0.1,0.6079295154185022,0,0
layer1.1.conv2.weight,0.2,0.5674008810572687,0,0
layer1.1.conv2.weight,0.30000000000000004,0.4907488986784141,0,0
layer1.1.conv2.weight,0.4,0.4422907488986784,0,0
layer1.1.conv2.weight,0.5,0.4143906020558003,0,0
layer1.1.conv2.weight,0.6000000000000001,0.3728830151737641,0,0
layer1.1.conv2.weight,0.7000000000000001,0.32422907488986785,0,0
layer1.1.conv2.weight,0.8,0.22476749877630936,0,0
layer1.1.conv2.weight,0.9,0.17288301517376406,0,0
layer1.2.conv1.weight,0.0,0.6335780714635341,0,0
layer1.2.conv1.weight,0.1,0.603230543318649,0,0
layer1.2.conv1.weight,0.2,0.44150758688203623,0,0
layer1.2.conv1.weight,0.30000000000000004,0.30817425354870287,0,0
layer1.2.conv1.weight,0.4,0.22545276554087126,0,0
layer1.2.conv1.weight,0.5,0.14527655408712678,0,0
layer1.2.conv1.weight,0.6000000000000001,0.07156142927068038,0,0
layer1.2.conv1.weight,0.7000000000000001,0.03406754772393539,0,0
layer1.2.conv1.weight,0.8,0.0219285364659814,0,0
layer1.2.conv1.weight,0.9,0.006558981889378365,0,0
layer1.2.conv2.weight,0.0,0.6335780714635341,0,0
layer1.2.conv2.weight,0.1,0.6350465002447381,0,0
layer1.2.conv2.weight,0.2,0.6560939794419971,0,0
layer1.2.conv2.weight,0.30000000000000004,0.6328928046989721,0,0
layer1.2.conv2.weight,0.4,0.5586882036221243,0,0
layer1.2.conv2.weight,0.5,0.5188448360254527,0,0
layer1.2.conv2.weight,0.6000000000000001,0.4885952031326481,0,0
layer1.2.conv2.weight,0.7000000000000001,0.4706803720019579,0,0
layer1.2.conv2.weight,0.8,0.40137053352912383,0,0
