parameter,sparsity,top1,top5,loss
conv1.weight,0.0,0.7517103,0,0
conv1.weight,0.1,0.7517103,0,0
conv1.weight,0.2,0.7517103,0,0
conv1.weight,0.30000000000000004,0.7517103,0,0
conv1.weight,0.4,0.7517103,0,0
conv1.weight,0.5,0.7452716,0,0
conv1.weight,0.6000000000000001,0.7317907,0,0
conv1.weight,0.7000000000000001,0.7016097,0,0
conv1.weight,0.8,0.6193159,0,0
conv1.weight,0.9,0.1205231,0,0
layer1.0.conv1.weight,0.0,0.7517103,0,0
layer1.0.conv1.weight,0.1,0.761167,0,0
layer1.0.conv1.weight,0.2,0.7513078,0,0
layer1.0.conv1.weight,0.30000000000000004,0.7478873,0,0
layer1.0.conv1.weight,0.4,0.7613682,0,0
layer1.0.conv1.weight,0.5,0.7573441,0,0
layer1.0.conv1.weight,0.6000000000000001,0.7257545,0,0
layer1.0.conv1.weight,0.7000000000000001,0.6929577,0,0
layer1.0.conv1.weight,0.8,0.5851107,0,0
layer1.0.conv1.weight,0.9,0.0,0,0
layer1.0.conv2.weight,0.0,0.7517103,0,0
layer1.0.conv2.weight,0.1,0.7517103,0,0
layer1.0.conv2.weight,0.2,0.7509054,0,0
layer1.0.conv2.weight,0.30000000000000004,0.7448692,0,0
layer1.0.conv2.weight,0.4,0.7364185,0,0
layer1.0.conv2.weight,0.5,0.7126761,0,0
layer1.0.conv2.weight,0.6000000000000001,0.6589537,0,0
layer1.0.conv2.weight,0.7000000000000001,0.6374245,0,0
layer1.0.conv2.weight,0.8,0.3430584,0,0
layer1.0.conv2.weight,0.9,0.0847082,0,0
layer1.0.downsample.0.weight,0.0,0.7517103,0,0
layer1.0.downsample.0.weight,0.1,0.7521127,0,0
layer1.0.downsample.0.weight,0.2,0.7458753,0,0
layer1.0.downsample.0.weight,0.30000000000000004,0.731992,0,0
layer1.0.downsample.0.weight,0.4,0.7255533,0,0
layer1.0.downsample.0.weight,0.5,0.6977867,0,0
layer1.0.downsample.0.weight,0.6000000000000001,0.6995976,0,0
layer1.0.downsample.0.weight,0.7000000000000001,0.6841046,0,0
layer1.0.downsample.0.weight,0.8,0.4577465,0,0
layer1.0.downsample.0.weight,0.9,0.1808853,0,0
layer1.1.conv1.weight,0.0,0.7517103,0,0
layer1.1.conv1.weight,0.1,0.7517103,0,0
layer1.1.conv1.weight,0.2,0.7517103,0,0
layer1.1.conv1.weight,0.30000000000000004,0.7517103,0,0
layer1.1.conv1.weight,0.4,0.7509054,0,0
layer1.1.conv1.weight,0.5,0.7454728,0,0
layer1.1.conv1.weight,0.6000000000000001,0.7492958,0,0
layer1.1.conv1.weight,0.7000000000000001,0.7002012,0,0
layer1.1.conv1.weight,0.8,0.5376258,0,0
layer1.1.conv1.weight,0.9,0.0889336,0,0
layer1.1.conv2.weight,0.0,0.7517103,0,0
