parameter,sparsity,top1,top5,loss
conv1.weight,0.0,0.9386903,0,0
conv1.weight,0.1,0.9386903,0,0
conv1.weight,0.2,0.939275,0,0
conv1.weight,0.30000000000000004,0.9398597,0,0
conv1.weight,0.4,0.9410291,0,0
conv1.weight,0.5,0.9381891,0,0
conv1.weight,0.6000000000000001,0.9272469,0,0
conv1.weight,0.7000000000000001,0.9329268,0,0
conv1.weight,0.8,0.9107083,0,0
conv1.weight,0.9,0.6753258,0,0
layer1.0.conv1.weight,0.0,0.9386903,0,0
layer1.0.conv1.weight,0.1,0.9404444,0,0
layer1.0.conv1.weight,0.2,0.940862,0,0
layer1.0.conv1.weight,0.30000000000000004,0.9416973,0,0
layer1.0.conv1.weight,0.4,0.9367691,0,0
layer1.0.conv1.weight,0.5,0.9283328,0,0
layer1.0.conv1.weight,0.6000000000000001,0.9288339,0,0
layer1.0.conv1.weight,0.7000000000000001,0.9297528,0,0
layer1.0.conv1.weight,0.8,0.9228199,0,0
layer1.0.conv1.weight,0.9,0.0005847,0,0
layer1.0.conv2.weight,0.0,0.9386903,0,0
layer1.0.conv2.weight,0.1,0.9386903,0,0
layer1.0.conv2.weight,0.2,0.9387738,0,0
layer1.0.conv2.weight,0.30000000000000004,0.9396926,0,0
layer1.0.conv2.weight,0.4,0.9402773,0,0
layer1.0.conv2.weight,0.5,0.9401938,0,0
layer1.0.conv2.weight,0.6000000000000001,0.9343468,0,0
layer1.0.conv2.weight,0.7000000000000001,0.9268293,0,0
layer1.0.conv2.weight,0.8,0.8789676,0,0
layer1.0.conv2.weight,0.9,0.8407952,0,0
layer1.0.downsample.0.weight,0.0,0.9386903,0,0
layer1.0.downsample.0.weight,0.1,0.9386067,0,0
layer1.0.downsample.0.weight,0.2,0.9419479,0,0
layer1.0.downsample.0.weight,0.30000000000000004,0.9415302,0,0
layer1.0.downsample.0.weight,0.4,0.9399432,0,0
layer1.0.downsample.0.weight,0.5,0.931841,0,0
layer1.0.downsample.0.weight,0.6000000000000001,0.9254928,0,0
layer1.0.downsample.0.weight,0.7000000000000001,0.8985967,0,0
layer1.0.downsample.0.weight,0.8,0.7799031,0,0
layer1.0.downsample.0.weight,0.9,0.7170899,0,0
layer1.1.conv1.weight,0.0,0.9386903,0,0
layer1.1.conv1.weight,0.1,0.9386903,0,0
layer1.1.conv1.weight,0.2,0.9410291,0,0
layer1.1.conv1.weight,0.30000000000000004,0.9441196,0,0
layer1.1.conv1.weight,0.4,0.9428667,0,0
layer1.1.conv1.weight,0.5,0.9374374,0,0
layer1.1.conv1.weight,0.6000000000000001,0.930421,0,0
layer1.1.conv1.weight,0.7000000000000001,0.9326762,0,0
layer1.1.conv1.weight,0.8,0.8296024,0,0
layer1.1.conv1.weight,0.9,0.6564484,0,0
layer1.1.conv2.weight,0.0,0.9386903,0,0
layer1.1.conv2.weight,0.1,0.9384397,0,0
layer1.1.conv2.weight,0.2,0.939442,0,0
layer1.1.conv2.weight,0.30000000000000004,0.9369362,0,0
layer1.1.conv2.weight,0.4,0.9339292,0,0
layer1.1.conv2.weight,0.5,0.9330939,0,0
layer1.1.conv2.weight,0.6000000000000001,0.9340962,0,0
layer1.1.conv2.weight,0.7000000000000001,0.9179753,0,0
layer1.1.conv2.weight,0.8,0.8894086,0,0
layer1.1.conv2.weight,0.9,0.8220849,0,0
layer1.2.conv1.weight,0.0,0.9386903,0,0
layer1.2.conv1.weight,0.1,0.9376879,0,0
layer1.2.conv1.weight,0.2,0.9368527,0,0
layer1.2.conv1.weight,0.30000000000000004,0.9340127,0,0
layer1.2.conv1.weight,0.4,0.9360174,0,0
layer1.2.conv1.weight,0.5,0.9285834,0,0
layer1.2.conv1.weight,0.6000000000000001,0.9150518,0,0
layer1.2.conv1.weight,0.7000000000000001,0.9235717,0,0
layer1.2.conv1.weight,0.8,0.9165553,0,0
layer1.2.conv1.weight,0.9,0.6395757,0,0
layer1.2.conv2.weight,0.0,0.9386903,0,0
layer1.2.conv2.weight,0.1,0.9387738,0,0
layer1.2.conv2.weight,0.2,0.9383562,0,0
layer1.2.conv2.weight,0.30000000000000004,0.9383562,0,0
