parameter,sparsity,top1,top5,loss
conv1.weight,0.0,0.8444704,0,0
conv1.weight,0.1,0.8444704,0,0
conv1.weight,0.2,0.8453057,0,0
conv1.weight,0.30000000000000004,0.8412128,0,0
conv1.weight,0.4,0.8509856,0,0
conv1.weight,0.5,0.8719512,0,0
conv1.weight,0.6000000000000001,0.868276,0,0
conv1.weight,0.7000000000000001,0.8550785,0,0
conv1.weight,0.8,0.7992817,0,0
conv1.weight,0.9,0.4132142,0,0
layer1.0.conv1.weight,0.0,0.8444704,0,0
layer1.0.conv1.weight,0.1,0.8560809,0,0
layer1.0.conv1.weight,0.2,0.853408,0,0
layer1.0.conv1.weight,0.30000000000000004,0.850735,0,0
layer1.0.conv1.weight,0.4,0.8439693,0,0
layer1.0.conv1.weight,0.5,0.8636819,0,0
layer1.0.conv1.weight,0.6000000000000001,0.8478116,0,0
layer1.0.conv1.weight,0.7000000000000001,0.8430505,0,0
layer1.0.conv1.weight,0.8,0.7251921,0,0
layer1.0.conv1.weight,0.9,0.0,0,0
layer1.0.conv2.weight,0.0,0.8444704,0,0
layer1.0.conv2.weight,0.1,0.8443034,0,0
layer1.0.conv2.weight,0.2,0.8370364,0,0
layer1.0.conv2.weight,0.30000000000000004,0.8329435,0,0
layer1.0.conv2.weight,0.4,0.8331106,0,0
layer1.0.conv2.weight,0.5,0.8463081,0,0
layer1.0.conv2.weight,0.6000000000000001,0.8124791,0,0
layer1.0.conv2.weight,0.7000000000000001,0.7670398,0,0
layer1.0.conv2.weight,0.8,0.3958403,0,0
layer1.0.conv2.weight,0.9,0.1748246,0,0
layer1.0.downsample.0.weight,0.0,0.8444704,0,0
layer1.0.downsample.0.weight,0.1,0.8434681,0,0
layer1.0.downsample.0.weight,0.2,0.8448045,0,0
layer1.0.downsample.0.weight,0.30000000000000004,0.8330271,0,0
layer1.0.downsample.0.weight,0.4,0.8230872,0,0
layer1.0.downsample.0.weight,0.5,0.8112262,0,0
layer1.0.downsample.0.weight,0.6000000000000001,0.7992817,0,0
layer1.0.downsample.0.weight,0.7000000000000001,0.6362345,0,0
layer1.0.downsample.0.weight,0.8,0.6009856,0,0
layer1.0.downsample.0.weight,0.9,0.483712,0,0
layer1.1.conv1.weight,0.0,0.8444704,0,0
layer1.1.conv1.weight,0.1,0.8397928,0,0
layer1.1.conv1.weight,0.2,0.8434681,0,0
layer1.1.conv1.weight,0.30000000000000004,0.8178249,0,0
layer1.1.conv1.weight,0.4,0.8186602,0,0
layer1.1.conv1.weight,0.5,0.869863,0,0
layer1.1.conv1.weight,0.6000000000000001,0.8665219,0,0
layer1.1.conv1.weight,0.7000000000000001,0.8620949,0,0
layer1.1.conv1.weight,0.8,0.7177581,0,0
layer1.1.conv1.weight,0.9,0.4036084,0,0
layer1.1.conv2.weight,0.0,0.8444704,0,0
layer1.1.conv2.weight,0.1,0.8444704,0,0
layer1.1.conv2.weight,0.2,0.8443869,0,0
layer1.1.conv2.weight,0.30000000000000004,0.8409622,0,0
layer1.1.conv2.weight,0.4,0.8366188,0,0
layer1.1.conv2.weight,0.5,0.8324424,0,0
layer1.1.conv2.weight,0.6000000000000001,0.7961076,0,0
layer1.1.conv2.weight,0.7000000000000001,0.8218343,0,0
layer1.1.conv2.weight,0.8,0.795857,0,0
layer1.1.conv2.weight,0.9,0.5634815,0,0
layer1.2.conv1.weight,0.0,0.8444704,0,0
layer1.2.conv1.weight,0.1,0.8248413,0,0
layer1.2.conv1.weight,0.2,0.8157367,0,0
layer1.2.conv1.weight,0.30000000000000004,0.7519211,0,0
layer1.2.conv1.weight,0.4,0.7348814,0,0
layer1.2.conv1.weight,0.5,0.7776478,0,0
layer1.2.conv1.weight,0.6000000000000001,0.7801537,0,0
layer1.2.conv1.weight,0.7000000000000001,0.7862513,0,0
layer1.2.conv1.weight,0.8,0.7079853,0,0
layer1.2.conv1.weight,0.9,0.1766622,0,0
layer1.2.conv2.weight,0.0,0.8444704,0,0
layer1.2.conv2.weight,0.1,0.8430505,0,0
layer1.2.conv2.weight,0.2,0.8465586,0,0
layer1.2.conv2.weight,0.30000000000000004,0.8426328,0,0
layer1.2.conv2.weight,0.4,0.8228366,0,0
layer1.2.conv2.weight,0.5,0.8026228,0,0
layer1.2.conv2.weight,0.6000000000000001,0.760274,0,0
layer1.2.conv2.weight,0.7000000000000001,0.7299532,0,0
layer1.2.conv2.weight,0.8,0.6556966,0,0
layer1.2.conv2.weight,0.9,0.0,0,0
layer2.0.conv1.weight,0.0,0.8444704,0,0
layer2.0.conv1.weight,0.1,0.8407952,0,0
layer2.0.conv1.weight,0.2,0.8666889,0,0
layer2.0.conv1.weight,0.30000000000000004,0.8662713,0,0
layer2.0.conv1.weight,0.4,0.8528233,0,0
layer2.0.conv1.weight,0.5,0.7964417,0,0
layer2.0.conv1.weight,0.6000000000000001,0.7660374,0,0
layer2.0.conv1.weight,0.7000000000000001,0.7180087,0,0
layer2.0.conv1.weight,0.8,0.5417641,0,0
layer2.0.conv1.weight,0.9,0.0008353,0,0
layer2.0.conv2.weight,0.0,0.8444704,0,0
layer2.0.conv2.weight,0.1,0.8468092,0,0
layer2.0.conv2.weight,0.2,0.8395423,0,0
layer2.0.conv2.weight,0.30000000000000004,0.8013699,0,0
layer2.0.conv2.weight,0.4,0.79001,0,0
layer2.0.conv2.weight,0.5,0.7161711,0,0
layer2.0.conv2.weight,0.6000000000000001,0.6987972,0,0
layer2.0.conv2.weight,0.7000000000000001,0.5196291,0,0
layer2.0.conv2.weight,0.8,0.1148513,0,0
layer2.0.conv2.weight,0.9,0.0519546,0,0
layer2.0.downsample.0.weight,0.0,0.8444704,0,0
layer2.0.downsample.0.weight,0.1,0.844554,0,0
layer2.0.downsample.0.weight,0.2,0.844554,0,0
layer2.0.downsample.0.weight,0.30000000000000004,0.8443869,0,0
layer2.0.downsample.0.weight,0.4,0.8437187,0,0
layer2.0.downsample.0.weight,0.5,0.8441363,0,0
layer2.0.downsample.0.weight,0.6000000000000001,0.8421316,0,0
layer2.0.downsample.0.weight,0.7000000000000001,0.8335282,0,0
layer2.0.downsample.0.weight,0.8,0.8446375,0,0
layer2.0.downsample.0.weight,0.9,0.8052122,0,0
layer2.1.conv1.weight,0.0,0.8444704,0,0
layer2.1.conv1.weight,0.1,0.8415469,0,0
layer2.1.conv1.weight,0.2,0.8219178,0,0
layer2.1.conv1.weight,0.30000000000000004,0.79001,0,0
layer2.1.conv1.weight,0.4,0.7836619,0,0
layer2.1.conv1.weight,0.5,0.7582693,0,0
layer2.1.conv1.weight,0.6000000000000001,0.7474942,0,0
layer2.1.conv1.weight,0.7000000000000001,0.6868527,0,0
layer2.1.conv1.weight,0.8,0.3435516,0,0
layer2.1.conv1.weight,0.9,0.0199632,0,0
layer2.1.conv2.weight,0.0,0.8444704,0,0
layer2.1.conv2.weight,0.1,0.8434681,0,0
layer2.1.conv2.weight,0.2,0.8363682,0,0
layer2.1.conv2.weight,0.30000000000000004,0.8434681,0,0
layer2.1.conv2.weight,0.4,0.8373705,0,0
layer2.1.conv2.weight,0.5,0.8227531,0,0
layer2.1.conv2.weight,0.6000000000000001,0.7732208,0,0
layer2.1.conv2.weight,0.7000000000000001,0.7205145,0,0
layer2.1.conv2.weight,0.8,0.5715002,0,0
layer2.1.conv2.weight,0.9,0.1768293,0,0
layer2.2.conv1.weight,0.0,0.8444704,0,0
layer2.2.conv1.weight,0.1,0.8598396,0,0
layer2.2.conv1.weight,0.2,0.8569161,0,0
layer2.2.conv1.weight,0.30000000000000004,0.8557467,0,0
layer2.2.conv1.weight,0.4,0.8488974,0,0
layer2.2.conv1.weight,0.5,0.8397093,0,0
layer2.2.conv1.weight,0.6000000000000001,0.797277,0,0
layer2.2.conv1.weight,0.7000000000000001,0.7804043,0,0
layer2.2.conv1.weight,0.8,0.6667224,0,0
layer2.2.conv1.weight,0.9,0.159873,0,0
layer2.2.conv2.weight,0.0,0.8444704,0,0
layer2.2.conv2.weight,0.1,0.8462245,0,0
layer2.2.conv2.weight,0.2,0.8468092,0,0
layer2.2.conv2.weight,0.30000000000000004,0.8404611,0,0
layer2.2.conv2.weight,0.4,0.8420481,0,0
layer2.2.conv2.weight,0.5,0.8209155,0,0
layer2.2.conv2.weight,0.6000000000000001,0.8321918,0,0
layer2.2.conv2.weight,0.7000000000000001,0.8133979,0,0
layer2.2.conv2.weight,0.8,0.6587036,0,0
layer2.2.conv2.weight,0.9,0.0,0,0
layer2.3.conv1.weight,0.0,0.8444704,0,0
layer2.3.conv1.weight,0.1,0.831273,0,0
layer2.3.conv1.weight,0.2,0.8052957,0,0
layer2.3.conv1.weight,0.30000000000000004,0.7931006,0,0
layer2.3.conv1.weight,0.4,0.8138991,0,0
layer2.3.conv1.weight,0.5,0.8303542,0,0
layer2.3.conv1.weight,0.6000000000000001,0.832693,0,0
layer2.3.conv1.weight,0.7000000000000001,0.822586,0,0
layer2.3.conv1.weight,0.8,0.7687939,0,0
layer2.3.conv1.weight,0.9,0.360842,0,0
layer2.3.conv2.weight,0.0,0.8444704,0,0
layer2.3.conv2.weight,0.1,0.8438022,0,0
layer2.3.conv2.weight,0.2,0.8243401,0,0
layer2.3.conv2.weight,0.30000000000000004,0.8215002,0,0
layer2.3.conv2.weight,0.4,0.8076345,0,0
layer2.3.conv2.weight,0.5,0.7888406,0,0
layer2.3.conv2.weight,0.6000000000000001,0.7599399,0,0
layer2.3.conv2.weight,0.7000000000000001,0.7336285,0,0
layer2.3.conv2.weight,0.8,0.6692282,0,0
layer2.3.conv2.weight,0.9,0.4645005,0,0
layer3.0.conv1.weight,0.0,0.8444704,0,0
layer3.0.conv1.weight,0.1,0.8022051,0,0
layer3.0.conv1.weight,0.2,0.7831607,0,0
layer3.0.conv1.weight,0.30000000000000004,0.6773304,0,0
layer3.0.conv1.weight,0.4,0.6042432,0,0
layer3.0.conv1.weight,0.5,0.5087705,0,0
layer3.0.conv1.weight,0.6000000000000001,0.4519713,0,0
layer3.0.conv1.weight,0.7000000000000001,0.0749248,0,0
layer3.0.conv1.weight,0.8,0.0005012,0,0
layer3.0.conv1.weight,0.9,0.0,0,0
layer3.0.conv2.weight,0.0,0.8444704,0,0
layer3.0.conv2.weight,0.1,0.8663548,0,0
layer3.0.conv2.weight,0.2,0.8067157,0,0
layer3.0.conv2.weight,0.30000000000000004,0.7763114,0,0
layer3.0.conv2.weight,0.4,0.7192616,0,0
layer3.0.conv2.weight,0.5,0.6423321,0,0
layer3.0.conv2.weight,0.6000000000000001,0.5233044,0,0
layer3.0.conv2.weight,0.7000000000000001,0.0020047,0,0
layer3.0.conv2.weight,0.8,0.0021717,0,0
layer3.0.conv2.weight,0.9,0.0,0,0
layer3.0.downsample.0.weight,0.0,0.8444704,0,0
layer3.0.downsample.0.weight,0.1,0.8450551,0,0
layer3.0.downsample.0.weight,0.2,0.8448045,0,0
layer3.0.downsample.0.weight,0.30000000000000004,0.843301,0,0
layer3.0.downsample.0.weight,0.4,0.8422987,0,0
layer3.0.downsample.0.weight,0.5,0.844721,0,0
layer3.0.downsample.0.weight,0.6000000000000001,0.8465586,0,0
layer3.0.downsample.0.weight,0.7000000000000001,0.8423822,0,0
layer3.0.downsample.0.weight,0.8,0.8259272,0,0
layer3.0.downsample.0.weight,0.9,0.8057133,0,0
layer3.1.conv1.weight,0.0,0.8444704,0,0
layer3.1.conv1.weight,0.1,0.8296024,0,0
layer3.1.conv1.weight,0.2,0.8153191,0,0
layer3.1.conv1.weight,0.30000000000000004,0.7906782,0,0
layer3.1.conv1.weight,0.4,0.7788172,0,0
layer3.1.conv1.weight,0.5,0.7758938,0,0
layer3.1.conv1.weight,0.6000000000000001,0.7834113,0,0
layer3.1.conv1.weight,0.7000000000000001,0.7533411,0,0
layer3.1.conv1.weight,0.8,0.6399933,0,0
layer3.1.conv1.weight,0.9,0.0740895,0,0
layer3.1.conv2.weight,0.0,0.8444704,0,0
layer3.1.conv2.weight,0.1,0.8386235,0,0
layer3.1.conv2.weight,0.2,0.8446375,0,0
layer3.1.conv2.weight,0.30000000000000004,0.8571667,0,0
layer3.1.conv2.weight,0.4,0.8575844,0,0
layer3.1.conv2.weight,0.5,0.7676245,0,0
layer3.1.conv2.weight,0.6000000000000001,0.7168393,0,0
layer3.1.conv2.weight,0.7000000000000001,0.5425994,0,0
layer3.1.conv2.weight,0.8,0.1550284,0,0
layer3.1.conv2.weight,0.9,0.0069328,0,0
layer3.2.conv1.weight,0.0,0.8444704,0,0
layer3.2.conv1.weight,0.1,0.7896759,0,0
layer3.2.conv1.weight,0.2,0.7666221,0,0
layer3.2.conv1.weight,0.30000000000000004,0.7623622,0,0
layer3.2.conv1.weight,0.4,0.7295356,0,0
layer3.2.conv1.weight,0.5,0.735299,0,0
layer3.2.conv1.weight,0.6000000000000001,0.690695,0,0
layer3.2.conv1.weight,0.7000000000000001,0.6479285,0,0
layer3.2.conv1.weight,0.8,0.503007,0,0
layer3.2.conv1.weight,0.9,0.0304043,0,0
layer3.2.conv2.weight,0.0,0.8444704,0,0
layer3.2.conv2.weight,0.1,0.8479786,0,0
layer3.2.conv2.weight,0.2,0.8367023,0,0
layer3.2.conv2.weight,0.30000000000000004,0.8352823,0,0
layer3.2.conv2.weight,0.4,0.8677748,0,0
layer3.2.conv2.weight,0.5,0.8497327,0,0
layer3.2.conv2.weight,0.6000000000000001,0.816572,0,0
layer3.2.conv2.weight,0.7000000000000001,0.7498329,0,0
layer3.2.conv2.weight,0.8,0.3387905,0,0
layer3.2.conv2.weight,0.9,0.0183762,0,0
layer3.3.conv1.weight,0.0,0.8444704,0,0
layer3.3.conv1.weight,0.1,0.8723689,0,0
layer3.3.conv1.weight,0.2,0.8544103,0,0
layer3.3.conv1.weight,0.30000000000000004,0.8463916,0,0
layer3.3.conv1.weight,0.4,0.859422,0,0
layer3.3.conv1.weight,0.5,0.8486468,0,0
layer3.3.conv1.weight,0.6000000000000001,0.7880053,0,0
layer3.3.conv1.weight,0.7000000000000001,0.7610257,0,0
layer3.3.conv1.weight,0.8,0.7180087,0,0
layer3.3.conv1.weight,0.9,0.1511861,0,0
layer3.3.conv2.weight,0.0,0.8444704,0,0
layer3.3.conv2.weight,0.1,0.8444704,0,0
layer3.3.conv2.weight,0.2,0.8571667,0,0
layer3.3.conv2.weight,0.30000000000000004,0.8739559,0,0
layer3.3.conv2.weight,0.4,0.8480621,0,0
layer3.3.conv2.weight,0.5,0.7788172,0,0
layer3.3.conv2.weight,0.6000000000000001,0.8054627,0,0
layer3.3.conv2.weight,0.7000000000000001,0.7776478,0,0
layer3.3.conv2.weight,0.8,0.425994,0,0
layer3.3.conv2.weight,0.9,0.0233044,0,0
layer3.4.conv1.weight,0.0,0.8444704,0,0
layer3.4.conv1.weight,0.1,0.8574173,0,0
layer3.4.conv1.weight,0.2,0.8514868,0,0
layer3.4.conv1.weight,0.30000000000000004,0.8563314,0,0
layer3.4.conv1.weight,0.4,0.8460575,0,0
layer3.4.conv1.weight,0.5,0.8496492,0,0
layer3.4.conv1.weight,0.6000000000000001,0.8162379,0,0
layer3.4.conv1.weight,0.7000000000000001,0.7783996,0,0
layer3.4.conv1.weight,0.8,0.7093218,0,0
layer3.4.conv1.weight,0.9,0.263281,0,0
layer3.4.conv2.weight,0.0,0.8444704,0,0
layer3.4.conv2.weight,0.1,0.8424658,0,0
layer3.4.conv2.weight,0.2,0.8382893,0,0
layer3.4.conv2.weight,0.30000000000000004,0.8258436,0,0
