parameter,sparsity,top1,top5,loss
conv1.weight,0.0,0.9923333333333334,0,0
conv1.weight,0.1,0.9923333333333334,0,0
conv1.weight,0.2,0.9923333333333334,0,0
conv1.weight,0.30000000000000004,0.9923333333333334,0,0
conv1.weight,0.4,0.9923333333333334,0,0
conv1.weight,0.5,0.9921666666666666,0,0
conv1.weight,0.6000000000000001,0.991,0,0
conv1.weight,0.7000000000000001,0.9923333333333334,0,0
conv1.weight,0.8,0.9920000000000002,0,0
conv1.weight,0.9,0.9901666666666665,0,0
layer1.0.conv1.weight,0.0,0.9923333333333334,0,0
layer1.0.conv1.weight,0.1,0.9923333333333334,0,0
layer1.0.conv1.weight,0.2,0.9914999999999999,0,0
layer1.0.conv1.weight,0.30000000000000004,0.9916666666666666,0,0
layer1.0.conv1.weight,0.4,0.991,0,0
layer1.0.conv1.weight,0.5,0.9916666666666666,0,0
layer1.0.conv1.weight,0.6000000000000001,0.9901666666666668,0,0
layer1.0.conv1.weight,0.7000000000000001,0.9903333333333334,0,0
layer1.0.conv1.weight,0.8,0.99,0,0
layer1.0.conv1.weight,0.9,0.9841666666666666,0,0
layer1.0.conv2.weight,0.0,0.9923333333333334,0,0
layer1.0.conv2.weight,0.1,0.9923333333333334,0,0
layer1.0.conv2.weight,0.2,0.9923333333333334,0,0
layer1.0.conv2.weight,0.30000000000000004,0.9923333333333334,0,0
layer1.0.conv2.weight,0.4,0.991,0,0
layer1.0.conv2.weight,0.5,0.9913333333333332,0,0
layer1.0.conv2.weight,0.6000000000000001,0.9904999999999999,0,0
layer1.0.conv2.weight,0.7000000000000001,0.9916666666666668,0,0
layer1.0.conv2.weight,0.8,0.9908333333333333,0,0
layer1.0.conv2.weight,0.9,0.9891666666666665,0,0
layer1.0.downsample.0.weight,0.0,0.9923333333333334,0,0
layer1.0.downsample.0.weight,0.1,0.9914999999999999,0,0
layer1.0.downsample.0.weight,0.2,0.9911666666666668,0,0
layer1.0.downsample.0.weight,0.30000000000000004,0.9921666666666666,0,0
layer1.0.downsample.0.weight,0.4,0.9906666666666666,0,0
layer1.0.downsample.0.weight,0.5,0.9904999999999999,0,0
layer1.0.downsample.0.weight,0.6000000000000001,0.9894999999999999,0,0
layer1.0.downsample.0.weight,0.7000000000000001,0.9881666666666666,0,0
layer1.0.downsample.0.weight,0.8,0.9875,0,0
layer1.0.downsample.0.weight,0.9,0.9861666666666669,0,0
layer1.1.conv1.weight,0.0,0.9923333333333334,0,0
layer1.1.conv1.weight,0.1,0.9923333333333334,0,0
layer1.1.conv1.weight,0.2,0.9911666666666668,0,0
layer1.1.conv1.weight,0.30000000000000004,0.9908333333333333,0,0
layer1.1.conv1.weight,0.4,0.9906666666666666,0,0
layer1.1.conv1.weight,0.5,0.9908333333333333,0,0
layer1.1.conv1.weight,0.6000000000000001,0.9913333333333332,0,0
layer1.1.conv1.weight,0.7000000000000001,0.9914999999999999,0,0
layer1.1.conv1.weight,0.8,0.9891666666666665,0,0
