parameter,sparsity,top1,top5,loss
first_conv.0.weight,0.0,0.7312061,0,0
first_conv.0.weight,0.1,0.7486635,0,0
first_conv.0.weight,0.2,0.6986301,0,0
first_conv.0.weight,0.30000000000000004,0.6992148,0,0
first_conv.0.weight,0.4,0.7317073,0,0
first_conv.0.weight,0.5,0.7019713,0,0
first_conv.0.weight,0.6000000000000001,0.6798363,0,0
first_conv.0.weight,0.7000000000000001,0.1426662,0,0
first_conv.0.weight,0.8,0.0201303,0,0
first_conv.0.weight,0.9,0.0,0,0
features.0.branch_main.0.weight,0.0,0.7312061,0,0
features.0.branch_main.0.weight,0.1,0.7229369,0,0
features.0.branch_main.0.weight,0.2,0.6888573,0,0
features.0.branch_main.0.weight,0.30000000000000004,0.7288674,0,0
features.0.branch_main.0.weight,0.4,0.6886903,0,0
features.0.branch_main.0.weight,0.5,0.686435,0,0
features.0.branch_main.0.weight,0.6000000000000001,0.6294688,0,0
features.0.branch_main.0.weight,0.7000000000000001,0.6070832,0,0
features.0.branch_main.0.weight,0.8,0.3629302,0,0
features.0.branch_main.0.weight,0.9,0.1593719,0,0
features.0.branch_main.3.weight,0.0,0.7312061,0,0
features.0.branch_main.3.weight,0.1,0.712997,0,0
features.0.branch_main.3.weight,0.2,0.6900267,0,0
features.0.branch_main.3.weight,0.30000000000000004,0.676161,0,0
features.0.branch_main.3.weight,0.4,0.2105747,0,0
features.0.branch_main.3.weight,0.5,0.1406615,0,0
features.0.branch_main.3.weight,0.6000000000000001,0.1122619,0,0
features.0.branch_main.3.weight,0.7000000000000001,0.0853659,0,0
features.0.branch_main.3.weight,0.8,0.0633144,0,0
features.0.branch_main.3.weight,0.9,0.0468593,0,0
features.0.branch_main.5.weight,0.0,0.7312061,0,0
features.0.branch_main.5.weight,0.1,0.7287003,0,0
features.0.branch_main.5.weight,0.2,0.7312061,0,0
features.0.branch_main.5.weight,0.30000000000000004,0.726445,0,0
features.0.branch_main.5.weight,0.4,0.6499332,0,0
