parameter,sparsity,top1,top5,loss
first_conv.0.weight,0.0,0.8203609,0,0
first_conv.0.weight,0.1,0.8212462,0,0
first_conv.0.weight,0.2,0.8141641,0,0
first_conv.0.weight,0.30000000000000004,0.8062649,0,0
first_conv.0.weight,0.4,0.7976847,0,0
first_conv.0.weight,0.5,0.7880831,0,0
first_conv.0.weight,0.6000000000000001,0.7874021,0,0
first_conv.0.weight,0.7000000000000001,0.0004767,0,0
first_conv.0.weight,0.8,0.0002043,0,0
first_conv.0.weight,0.9,0.0,0,0
features.0.branch_main.0.weight,0.0,0.8203609,0,0
features.0.branch_main.0.weight,0.1,0.8190671,0,0
features.0.branch_main.0.weight,0.2,0.8171604,0,0
features.0.branch_main.0.weight,0.30000000000000004,0.8132789,0,0
features.0.branch_main.0.weight,0.4,0.8033367,0,0
features.0.branch_main.0.weight,0.5,0.7940075,0,0
features.0.branch_main.0.weight,0.6000000000000001,0.7629554,0,0
features.0.branch_main.0.weight,0.7000000000000001,0.6766088,0,0
features.0.branch_main.0.weight,0.8,0.4530473,0,0
features.0.branch_main.0.weight,0.9,0.2051753,0,0
features.0.branch_main.3.weight,0.0,0.8203609,0,0
features.0.branch_main.3.weight,0.1,0.8157984,0,0
features.0.branch_main.3.weight,0.2,0.7942799,0,0
features.0.branch_main.3.weight,0.30000000000000004,0.7882874,0,0
features.0.branch_main.3.weight,0.4,0.507048,0,0
features.0.branch_main.3.weight,0.5,0.4125298,0,0
features.0.branch_main.3.weight,0.6000000000000001,0.3658155,0,0
features.0.branch_main.3.weight,0.7000000000000001,0.281716,0,0
features.0.branch_main.3.weight,0.8,0.1715356,0,0
features.0.branch_main.3.weight,0.9,0.0903643,0,0
features.0.branch_main.5.weight,0.0,0.8203609,0,0
features.0.branch_main.5.weight,0.1,0.8192714,0,0
features.0.branch_main.5.weight,0.2,0.8138917,0,0
features.0.branch_main.5.weight,0.30000000000000004,0.8055158,0,0
features.0.branch_main.5.weight,0.4,0.7951651,0,0
features.0.branch_main.5.weight,0.5,0.784542,0,0
features.0.branch_main.5.weight,0.6000000000000001,0.7611168,0,0
features.0.branch_main.5.weight,0.7000000000000001,0.7355124,0,0
features.0.branch_main.5.weight,0.8,0.6804222,0,0
features.0.branch_main.5.weight,0.9,0.6170923,0,0
features.0.branch_proj.0.weight,0.0,0.8203609,0,0
features.0.branch_proj.0.weight,0.1,0.8196118,0,0
features.0.branch_proj.0.weight,0.2,0.8135512,0,0
features.0.branch_proj.0.weight,0.30000000000000004,0.816207,0,0
features.0.branch_proj.0.weight,0.4,0.811985,0,0
features.0.branch_proj.0.weight,0.5,0.8024515,0,0
features.0.branch_proj.0.weight,0.6000000000000001,0.7991147,0,0
features.0.branch_proj.0.weight,0.7000000000000001,0.796459,0,0
features.0.branch_proj.0.weight,0.8,0.7848144,0,0
features.0.branch_proj.0.weight,0.9,0.7692884,0,0
features.0.branch_proj.2.weight,0.0,0.8203609,0,0
features.0.branch_proj.2.weight,0.1,0.8186585,0,0
features.0.branch_proj.2.weight,0.2,0.8151175,0,0
features.0.branch_proj.2.weight,0.30000000000000004,0.8049711,0,0
features.0.branch_proj.2.weight,0.4,0.7982976,0,0
features.0.branch_proj.2.weight,0.5,0.7946204,0,0
features.0.branch_proj.2.weight,0.6000000000000001,0.7883555,0,0
features.0.branch_proj.2.weight,0.7000000000000001,0.7914198,0,0
features.0.branch_proj.2.weight,0.8,0.7680626,0,0
features.0.branch_proj.2.weight,0.9,0.7588015,0,0
features.1.branch_main.0.weight,0.0,0.8203609,0,0
features.1.branch_main.0.weight,0.1,0.8220633,0,0
features.1.branch_main.0.weight,0.2,0.8136874,0,0
features.1.branch_main.0.weight,0.30000000000000004,0.7950289,0,0
features.1.branch_main.0.weight,0.4,0.7886959,0,0
features.1.branch_main.0.weight,0.5,0.779571,0,0
features.1.branch_main.0.weight,0.6000000000000001,0.759891,0,0
features.1.branch_main.0.weight,0.7000000000000001,0.7090228,0,0
features.1.branch_main.0.weight,0.8,0.6774259,0,0
features.1.branch_main.0.weight,0.9,0.2416071,0,0
features.1.branch_main.3.weight,0.0,0.8203609,0,0
features.1.branch_main.3.weight,0.1,0.811985,0,0
features.1.branch_main.3.weight,0.2,0.7965271,0,0
features.1.branch_main.3.weight,0.30000000000000004,0.7961185,0,0
features.1.branch_main.3.weight,0.4,0.7861083,0,0
features.1.branch_main.3.weight,0.5,0.7803201,0,0
features.1.branch_main.3.weight,0.6000000000000001,0.7430712,0,0
features.1.branch_main.3.weight,0.7000000000000001,0.7056861,0,0
features.1.branch_main.3.weight,0.8,0.6404494,0,0
features.1.branch_main.3.weight,0.9,0.5645216,0,0
features.1.branch_main.5.weight,0.0,0.8203609,0,0
features.1.branch_main.5.weight,0.1,0.8160708,0,0
features.1.branch_main.5.weight,0.2,0.8146408,0,0
features.1.branch_main.5.weight,0.30000000000000004,0.8025196,0,0
features.1.branch_main.5.weight,0.4,0.7834525,0,0
features.1.branch_main.5.weight,0.5,0.7602996,0,0
features.1.branch_main.5.weight,0.6000000000000001,0.7364658,0,0
features.1.branch_main.5.weight,0.7000000000000001,0.7186925,0,0
features.1.branch_main.5.weight,0.8,0.685189,0,0
features.1.branch_main.5.weight,0.9,0.66476,0,0
features.2.branch_main.0.weight,0.0,0.8203609,0,0
features.2.branch_main.0.weight,0.1,0.8090569,0,0
features.2.branch_main.0.weight,0.2,0.7985019,0,0
features.2.branch_main.0.weight,0.30000000000000004,0.7918284,0,0
features.2.branch_main.0.weight,0.4,0.7639088,0,0
features.2.branch_main.0.weight,0.5,0.751379,0,0
features.2.branch_main.0.weight,0.6000000000000001,0.7359891,0,0
features.2.branch_main.0.weight,0.7000000000000001,0.7445693,0,0
features.2.branch_main.0.weight,0.8,0.6896153,0,0
features.2.branch_main.0.weight,0.9,0.6461015,0,0
features.2.branch_main.3.weight,0.0,0.8203609,0,0
features.2.branch_main.3.weight,0.1,0.8041539,0,0
features.2.branch_main.3.weight,0.2,0.7989785,0,0
features.2.branch_main.3.weight,0.30000000000000004,0.7929179,0,0
features.2.branch_main.3.weight,0.4,0.6500511,0,0
features.2.branch_main.3.weight,0.5,0.6004086,0,0
features.2.branch_main.3.weight,0.6000000000000001,0.5442288,0,0
features.2.branch_main.3.weight,0.7000000000000001,0.3930541,0,0
features.2.branch_main.3.weight,0.8,0.5777324,0,0
features.2.branch_main.3.weight,0.9,0.4884576,0,0
features.2.branch_main.5.weight,0.0,0.8203609,0,0
features.2.branch_main.5.weight,0.1,0.8081035,0,0
features.2.branch_main.5.weight,0.2,0.7999319,0,0
features.2.branch_main.5.weight,0.30000000000000004,0.7835887,0,0
features.2.branch_main.5.weight,0.4,0.7652026,0,0
features.2.branch_main.5.weight,0.5,0.7617297,0,0
features.2.branch_main.5.weight,0.6000000000000001,0.7580524,0,0
features.2.branch_main.5.weight,0.7000000000000001,0.7277494,0,0
features.2.branch_main.5.weight,0.8,0.6870957,0,0
features.2.branch_main.5.weight,0.9,0.7023493,0,0
features.3.branch_main.0.weight,0.0,0.8203609,0,0
features.3.branch_main.0.weight,0.1,0.8183861,0,0
features.3.branch_main.0.weight,0.2,0.804903,0,0
features.3.branch_main.0.weight,0.30000000000000004,0.7911474,0,0
features.3.branch_main.0.weight,0.4,0.769016,0,0
features.3.branch_main.0.weight,0.5,0.7442969,0,0
features.3.branch_main.0.weight,0.6000000000000001,0.7228464,0,0
features.3.branch_main.0.weight,0.7000000000000001,0.654205,0,0
features.3.branch_main.0.weight,0.8,0.633776,0,0
features.3.branch_main.0.weight,0.9,0.5724889,0,0
features.3.branch_main.3.weight,0.0,0.8203609,0,0
features.3.branch_main.3.weight,0.1,0.8166156,0,0
features.3.branch_main.3.weight,0.2,0.8067416,0,0
features.3.branch_main.3.weight,0.30000000000000004,0.8061287,0,0
features.3.branch_main.3.weight,0.4,0.7726932,0,0
features.3.branch_main.3.weight,0.5,0.7416411,0,0
features.3.branch_main.3.weight,0.6000000000000001,0.7282942,0,0
features.3.branch_main.3.weight,0.7000000000000001,0.6973102,0,0
features.3.branch_main.3.weight,0.8,0.6719782,0,0
features.3.branch_main.3.weight,0.9,0.5924413,0,0
features.3.branch_main.5.weight,0.0,0.8203609,0,0
features.3.branch_main.5.weight,0.1,0.8130746,0,0
features.3.branch_main.5.weight,0.2,0.803541,0,0
features.3.branch_main.5.weight,0.30000000000000004,0.8061287,0,0
features.3.branch_main.5.weight,0.4,0.7832482,0,0
features.3.branch_main.5.weight,0.5,0.7673817,0,0
features.3.branch_main.5.weight,0.6000000000000001,0.7304733,0,0
features.3.branch_main.5.weight,0.7000000000000001,0.6761321,0,0
features.3.branch_main.5.weight,0.8,0.6554307,0,0
features.3.branch_main.5.weight,0.9,0.6079673,0,0
features.4.branch_main.0.weight,0.0,0.8203609,0,0
features.4.branch_main.0.weight,0.1,0.8162751,0,0
features.4.branch_main.0.weight,0.2,0.7920327,0,0
features.4.branch_main.0.weight,0.30000000000000004,0.7785495,0,0
features.4.branch_main.0.weight,0.4,0.7532176,0,0
features.4.branch_main.0.weight,0.5,0.7207354,0,0
features.4.branch_main.0.weight,0.6000000000000001,0.6591079,0,0
features.4.branch_main.0.weight,0.7000000000000001,0.5771195,0,0
features.4.branch_main.0.weight,0.8,0.4902962,0,0
features.4.branch_main.0.weight,0.9,0.1842697,0,0
features.4.branch_main.3.weight,0.0,0.8203609,0,0
features.4.branch_main.3.weight,0.1,0.7813415,0,0
features.4.branch_main.3.weight,0.2,0.7775281,0,0
