parameter,sparsity,top1,top5,loss
first_conv.0.weight,0.0,0.7302093,0,0
first_conv.0.weight,0.1,0.7235365,0,0
first_conv.0.weight,0.2,0.6971489,0,0
first_conv.0.weight,0.30000000000000004,0.6821353,0,0
first_conv.0.weight,0.4,0.7327874,0,0
first_conv.0.weight,0.5,0.7399151,0,0
first_conv.0.weight,0.6000000000000001,0.7434031,0,0
first_conv.0.weight,0.7000000000000001,0.12936,0,0
first_conv.0.weight,0.8,0.0124355,0,0
first_conv.0.weight,0.9,0.0,0,0
features.0.branch_main.0.weight,0.0,0.7302093,0,0
features.0.branch_main.0.weight,0.1,0.7221717,0,0
features.0.branch_main.0.weight,0.2,0.6653018,0,0
features.0.branch_main.0.weight,0.30000000000000004,0.6499848,0,0
features.0.branch_main.0.weight,0.4,0.5997877,0,0
features.0.branch_main.0.weight,0.5,0.5920534,0,0
features.0.branch_main.0.weight,0.6000000000000001,0.5599029,0,0
features.0.branch_main.0.weight,0.7000000000000001,0.5523203,0,0
features.0.branch_main.0.weight,0.8,0.125417,0,0
features.0.branch_main.0.weight,0.9,0.0853806,0,0
features.0.branch_main.3.weight,0.0,0.7302093,0,0
features.0.branch_main.3.weight,0.1,0.7179254,0,0
features.0.branch_main.3.weight,0.2,0.7118593,0,0
features.0.branch_main.3.weight,0.30000000000000004,0.7336973,0,0
features.0.branch_main.3.weight,0.4,0.1721262,0,0
features.0.branch_main.3.weight,0.5,0.1217774,0,0
features.0.branch_main.3.weight,0.6000000000000001,0.0788596,0,0
features.0.branch_main.3.weight,0.7000000000000001,0.0858356,0,0
features.0.branch_main.3.weight,0.8,0.0539885,0,0
features.0.branch_main.3.weight,0.9,0.040643,0,0
features.0.branch_main.5.weight,0.0,0.7302093,0,0
features.0.branch_main.5.weight,0.1,0.7027601,0,0
features.0.branch_main.5.weight,0.2,0.7192903,0,0
features.0.branch_main.5.weight,0.30000000000000004,0.6979072,0,0
features.0.branch_main.5.weight,0.4,0.7016985,0,0
features.0.branch_main.5.weight,0.5,0.7039733,0,0
features.0.branch_main.5.weight,0.6000000000000001,0.6745526,0,0
features.0.branch_main.5.weight,0.7000000000000001,0.7089779,0,0
features.0.branch_main.5.weight,0.8,0.6169245,0,0
features.0.branch_main.5.weight,0.9,0.5632393,0,0
features.0.branch_proj.0.weight,0.0,0.7302093,0,0
features.0.branch_proj.0.weight,0.1,0.7323324,0,0
features.0.branch_proj.0.weight,0.2,0.7394601,0,0
features.0.branch_proj.0.weight,0.30000000000000004,0.7464362,0,0
features.0.branch_proj.0.weight,0.4,0.7390052,0,0
features.0.branch_proj.0.weight,0.5,0.7418866,0,0
features.0.branch_proj.0.weight,0.6000000000000001,0.7471944,0,0
features.0.branch_proj.0.weight,0.7000000000000001,0.7608432,0,0
features.0.branch_proj.0.weight,0.8,0.7487109,0,0
features.0.branch_proj.0.weight,0.9,0.7241432,0,0
features.0.branch_proj.2.weight,0.0,0.7302093,0,0
features.0.branch_proj.2.weight,0.1,0.7142857,0,0
features.0.branch_proj.2.weight,0.2,0.7082196,0,0
features.0.branch_proj.2.weight,0.30000000000000004,0.7138308,0,0
features.0.branch_proj.2.weight,0.4,0.7054898,0,0
features.0.branch_proj.2.weight,0.5,0.7141341,0,0
features.0.branch_proj.2.weight,0.6000000000000001,0.6951774,0,0
features.0.branch_proj.2.weight,0.7000000000000001,0.6930543,0,0
features.0.branch_proj.2.weight,0.8,0.6361844,0,0
features.0.branch_proj.2.weight,0.9,0.5585381,0,0
features.1.branch_main.0.weight,0.0,0.7302093,0,0
features.1.branch_main.0.weight,0.1,0.7129208,0,0
features.1.branch_main.0.weight,0.2,0.7123142,0,0
features.1.branch_main.0.weight,0.30000000000000004,0.6439187,0,0
features.1.branch_main.0.weight,0.4,0.6323931,0,0
features.1.branch_main.0.weight,0.5,0.5808311,0,0
features.1.branch_main.0.weight,0.6000000000000001,0.5680922,0,0
features.1.branch_main.0.weight,0.7000000000000001,0.5846224,0,0
features.1.branch_main.0.weight,0.8,0.5486806,0,0
features.1.branch_main.0.weight,0.9,0.0706703,0,0
features.1.branch_main.3.weight,0.0,0.7302093,0,0
features.1.branch_main.3.weight,0.1,0.699727,0,0
features.1.branch_main.3.weight,0.2,0.7024568,0,0
features.1.branch_main.3.weight,0.30000000000000004,0.656051,0,0
features.1.branch_main.3.weight,0.4,0.6198059,0,0
features.1.branch_main.3.weight,0.5,0.5735517,0,0
features.1.branch_main.3.weight,0.6000000000000001,0.6010009,0,0
features.1.branch_main.3.weight,0.7000000000000001,0.5323021,0,0
features.1.branch_main.3.weight,0.8,0.4378223,0,0
features.1.branch_main.3.weight,0.9,0.2297543,0,0
features.1.branch_main.5.weight,0.0,0.7302093,0,0
features.1.branch_main.5.weight,0.1,0.6789506,0,0
features.1.branch_main.5.weight,0.2,0.662572,0,0
features.1.branch_main.5.weight,0.30000000000000004,0.7094328,0,0
features.1.branch_main.5.weight,0.4,0.7217167,0,0
features.1.branch_main.5.weight,0.5,0.6781923,0,0
features.1.branch_main.5.weight,0.6000000000000001,0.5973612,0,0
features.1.branch_main.5.weight,0.7000000000000001,0.5920534,0,0
features.1.branch_main.5.weight,0.8,0.5762815,0,0
features.1.branch_main.5.weight,0.9,0.5134971,0,0
features.2.branch_main.0.weight,0.0,0.7302093,0,0
